,,,,
Topic,Subtopic,Question,Answer,Problem difficulty
Numpy,Vectorization and broadcasting,How to sum a small array faster than np.sum? (★★☆),"# Author: Evgeni Burovski

Z = np.arange(10)
print(np.add.reduce(Z))",50
Numpy,Vectorization and broadcasting,Extract the integer part of a random array of positive numbers using 4 different methods (★★☆),"Z = np.random.uniform(0,10,10)

print(Z - Z%1)
print(Z // 1)
print(np.floor(Z))
print(Z.astype(int))
print(np.trunc(Z))",50
Numpy,Vectorization and broadcasting,"Consider two random arrays A and B, check if they are equal (★★☆)","A = np.random.randint(0,2,5)
B = np.random.randint(0,2,5)

# Assuming identical shape of the arrays and a tolerance for the comparison of values
equal = np.allclose(A,B)
print(equal)

# Checking both the shape and the element values, no tolerance (values have to be exactly equal)
equal = np.array_equal(A,B)
print(equal)",54
Numpy,Vectorization and broadcasting,Make an array immutable (read-only) (★★☆),"Z = np.zeros(10)
Z.flags.writeable = False
Z[0] = 1",56
Numpy,Vectorization and broadcasting,"Consider a random 10x2 matrix representing cartesian coordinates, convert them to polar coordinates (★★☆)","Z = np.random.random((10,2))
X,Y = Z[:,0], Z[:,1]
R = np.sqrt(X**2+Y**2)
T = np.arctan2(Y,X)
print(R)
print(T)",56
Numpy,Core array literacy,Set negative values to 0 using clipping (ReLU). (★★☆),"Z = np.linspace(-3, 3, 7)
Z = Z.clip(min=0)
print(Z)",58
Numpy,Vectorization and broadcasting,Check if a 1D array is non-decreasing. (★★☆),"Z = np.array([1,2,2,4,5])
is_mono = np.all(np.diff(Z) >= 0)
print(is_mono)",58
Numpy,Core array literacy,Repeat each element of a vector a variable number of times. (★★☆),"x = np.array([1,2,3])
repeats = np.array([1,3,2])
y = np.repeat(x, repeats)
print(y)",58
Numpy,Core array literacy,Shuffle the rows of a 2D array. (★★☆),"Z = np.arange(12).reshape(4,3)
perm = np.random.permutation(Z.shape[0])
print(Z[perm])",58
Numpy,Indexing and selection,Map integer labels to new values using fancy indexing. (★★☆),"labels = np.array([0,2,1,2,0])
values = np.array([10, 20, 30])
mapped = values[labels]
print(mapped)",58
Numpy,Indexing and selection,Create an 8x8 checkerboard array using slicing. (★★☆),"Z = np.zeros((8,8), dtype=int)
Z[1::2, ::2] = 1
Z[::2, 1::2] = 1
print(Z)",58
Numpy,Indexing and selection,What is the equivalent of enumerate for numpy arrays? (★★☆),"Z = np.arange(9).reshape(3,3)
for index, value in np.ndenumerate(Z):
    print(index, value)
for index in np.ndindex(Z.shape):
    print(index, Z[index])",58
Numpy,Vectorization and broadcasting,Set every 3rd element of a vector to -1. (★★☆),"Z = np.arange(12)
Z[::3] = -1
print(Z)",58
Numpy,Core array literacy,Rotate a 2D array by 90 degrees counterclockwise. (★★☆),"Z = np.arange(9).reshape(3,3)
R = np.rot90(Z)
print(R)",58
Numpy,Core array literacy,Flip a 2D array horizontally and vertically. (★★☆),"Z = np.arange(9).reshape(3,3)
H = Z[:, ::-1]
V = Z[::-1, :]
print(H)
print(V)",58
Numpy,Core array literacy,Extract the first superdiagonal (k=1) of a square matrix. (★★☆),"Z = np.arange(25).reshape(5,5)
d = np.diag(Z, k=1)
print(d)",58
Numpy,Indexing and selection,Create a boolean mask for the upper triangular part including diagonal. (★★☆),"n = 5
mask = np.triu(np.ones((n,n), dtype=bool))
print(mask)",58
Numpy,Indexing and selection,Get unique rows of a 2D array. (★★☆),"Z = np.array([[1,2,3],[1,2,3],[2,3,4]])
U = np.unique(Z, axis=0)
print(U)",58
Numpy,Vectorization and broadcasting,"Min-max scale a vector to the [0,1] interval. (★★☆)","Z = np.random.rand(10)
Z = (Z - Z.min()) / (Z.ptp())
print(Z)",58
Numpy,Vectorization and broadcasting,Tile a 1D vector into a 2D matrix and compute column means. (★★☆),"v = np.arange(5)
M = np.tile(v, (4,1))
cm = M.mean(axis=0)
print(M)
print(cm)",58
Numpy,Vectorization and broadcasting,Compute row-wise cumulative sums of a 2D array. (★★☆),"Z = np.arange(12).reshape(3,4)
R = Z.cumsum(axis=1)
print(R)",58
Numpy,Applied patterns and advanced,"Create a structured array with `x` and `y` coordinates covering the [0,1]x[0,1] area (★★☆)","Z = np.zeros((5,5), [('x',float),('y',float)])
Z['x'], Z['y'] = np.meshgrid(np.linspace(0,1,5),
                             np.linspace(0,1,5))
print(Z)",58
Numpy,Vectorization and broadcasting,Stack two arrays along a new axis and take the mean. (★★☆),"A = np.random.rand(3,4)
B = np.random.rand(3,4)
S = np.stack([A,B], axis=0).mean(axis=0)
print(S)",58
Numpy,Vectorization and broadcasting,Remove all-zero rows from a 2D array. (★★☆),"Z = np.array([[0,0,0],[1,0,2],[0,0,0],[3,4,5]])
Z = Z[~(Z==0).all(axis=1)]
print(Z)",58
Numpy,Indexing and selection,Get coordinates of nonzero elements from a binary mask. (★★☆),"Z = np.zeros((4,5), dtype=int)
Z[1,2] = 1; Z[3,4] = 1
coords = np.argwhere(Z)
print(coords)",58
Numpy,Indexing and selection,Compute a histogram of values with 5 bins and return bin counts. (★★☆),"Z = np.random.rand(100)
counts, edges = np.histogram(Z, bins=5, range=(0.0, 1.0))
print(counts)
print(edges)",60
Numpy,Applied patterns and advanced,Print the minimum and maximum representable values for each numpy scalar type (★★☆),"for dtype in [np.int8, np.int32, np.int64]:
   print(np.iinfo(dtype).min)
   print(np.iinfo(dtype).max)
for dtype in [np.float32, np.float64]:
   print(np.finfo(dtype).min)
   print(np.finfo(dtype).max)
   print(np.finfo(dtype).eps)",60
Numpy,Vectorization and broadcasting,Interleave two equal-length vectors elementwise. (★★☆),"a = np.array([1,3,5])
b = np.array([2,4,6])
out = np.ravel(np.column_stack((a,b)))
print(out)",60
Numpy,Vectorization and broadcasting,Pad a 2D array with a constant 1-wide border of -1. (★★☆),"Z = np.ones((3,3), dtype=int)
P = np.pad(Z, pad_width=1, mode='constant', constant_values=-1)
print(P)",60
Numpy,Indexing and selection,How to randomly place p elements in a 2D array? (★★☆),"# Author: Divakar

n = 10
p = 3
Z = np.zeros((n,n))
np.put(Z, np.random.choice(range(n*n), p, replace=False),1)
print(Z)",60
Numpy,Indexing and selection,How to sort an array by the nth column? (★★☆),"# Author: Steve Tjoa

Z = np.random.randint(0,10,(3,3))
print(Z)
print(Z[Z[:,1].argsort()])",60
Numpy,Vectorization and broadcasting,One-hot encode integer labels from 0..K-1. (★★☆),"labels = np.array([0,2,1,2])
K = labels.max() + 1
onehot = np.eye(K)[labels]
print(onehot)",60
Numpy,Indexing and selection,Mask elements of an array where another array exceeds 0.5. (★★☆),"Z = np.random.rand(4,4)
Y = np.random.rand(4,4)
Z[Y > 0.5] = -1
print(Z)",60
Numpy,Vectorization and broadcasting,Convert an RGB image to grayscale using dot product. (★★☆),"I = np.random.randint(0, 256, (4,4,3)).astype(np.uint8)
G = np.dot(I[...,:3], [0.299, 0.587, 0.114])
print(G)",60
Numpy,Applied patterns and advanced,"Create a structured array representing a position (x,y) and a color (r,g,b) (★★☆)","Z = np.zeros(10, [ ('position', [ ('x', float, 1),
                                  ('y', float, 1)]),
                   ('color',    [ ('r', float, 1),
                                  ('g', float, 1),
                                  ('b', float, 1)])])
print(Z)",60
Numpy,Vectorization and broadcasting,Normalize a vector to unit L2 length. (★★☆),"Z = np.random.rand(10)
Z = Z / np.linalg.norm(Z)
print(Z)",60
Numpy,Indexing and selection,Find the nearest value from a given value in an array (★★☆),"Z = np.random.uniform(0,1,10)
z = 0.5
m = Z.flat[np.abs(Z - z).argmin()]
print(m)",60
Numpy,Indexing and selection,Compute a 1D moving average with window size 3 using convolution. (★★☆),"x = np.arange(10, dtype=float)
kernel = np.ones(3)/3.0
ma = np.convolve(x, kernel, mode='valid')
print(ma)",60
Numpy,Core array literacy,"Safely divide two arrays, treating division by zero as 0. (★★☆)","a = np.array([1.0, 2.0, 0.0])
b = np.array([2.0, 0.0, 3.0])
out = np.divide(a, b, out=np.zeros_like(a), where=b!=0)
print(out)",60
Numpy,Indexing and selection,Randomly select k unique rows from a 2D array. (★★☆),"Z = np.random.randint(0,10,(10,3))
k = 4
idx = np.random.choice(Z.shape[0], k, replace=False)
print(Z[idx])",60
Numpy,Indexing and selection,"Get unique values and their counts, sorted by count desc. (★★☆)","Z = np.random.randint(0,5,20)
vals, cnts = np.unique(Z, return_counts=True)
order = np.argsort(cnts)[::-1]
print(vals[order])
print(cnts[order])",60
Numpy,Indexing and selection,Compute softmax over a vector. (★★☆),"z = np.array([1.0, 2.0, 3.0])
e = np.exp(z - z.max())
softmax = e / e.sum()
print(softmax)",60
Numpy,Core array literacy,Generate a random permutation matrix of size n. (★★☆),"n = 5
P = np.eye(n)[np.random.permutation(n)]
print(P)",60
Numpy,Applied patterns and advanced,Generate a generic 2D Gaussian-like array (★★☆),"X, Y = np.meshgrid(np.linspace(-1,1,10), np.linspace(-1,1,10))
D = np.sqrt(X*X+Y*Y)
sigma, mu = 1.0, 0.0
G = np.exp(-( (D-mu)**2 / ( 2.0 * sigma**2 ) ) )
print(G)",62
Numpy,Vectorization and broadcasting,Standardize each column of a matrix to zero mean and unit std. (★★☆),"X = np.random.randn(5, 4)
X = (X - X.mean(axis=0)) / X.std(axis=0, ddof=0)
print(X)",62
Numpy,Core array literacy,Solve a linear system Ax = b for a random 3x3 A. (★★☆),"A = np.random.rand(3,3)
b = np.random.rand(3)
x = np.linalg.solve(A, b)
print(x)",62
Numpy,Vectorization and broadcasting,"Compute column-wise quartiles (0.25, 0.5, 0.75). (★★☆)","X = np.random.randn(100,3)
q = np.quantile(X, [0.25, 0.5, 0.75], axis=0)
print(q)",62
Numpy,Vectorization and broadcasting,Subtract the mean of each row of a matrix (★★☆),"# Author: Warren Weckesser

X = np.random.rand(5, 10)

# Recent versions of numpy
Y = X - X.mean(axis=1, keepdims=True)

# Older versions of numpy
Y = X - X.mean(axis=1).reshape(-1, 1)

print(Y)",62
Numpy,Indexing and selection,Find the bounding box of nonzero entries in a 2D array. (★★☆),"Z = np.zeros((6,7), dtype=int)
Z[2:5, 3:6] = 1
rows = np.any(Z, axis=1)
cols = np.any(Z, axis=0)
rmin, rmax = np.where(rows)[0][[0, -1]]
cmin, cmax = np.where(cols)[0][[0, -1]]
print((rmin, rmax, cmin, cmax))",62
Numpy,Applied patterns and advanced,"Considering two arrays with shape (1,3) and (3,1), how to compute their sum using an iterator? (★★☆)","A = np.arange(3).reshape(3,1)
B = np.arange(3).reshape(1,3)
it = np.nditer([A,B,None])
for x,y,z in it: z[...] = x + y
print(it.operands[2])",62
Numpy,Core array literacy,Keep only elements within k=1 diagonal band of a square matrix. (★★☆),"Z = np.arange(25).reshape(5,5)
mask = np.abs(np.arange(5)[:,None] - np.arange(5)[None,:]) <= 1
Z = Z * mask
print(Z)",62
Numpy,Applied patterns and advanced,Create an array class that has a name attribute (★★☆),"class NamedArray(np.ndarray):
    def __new__(cls, array, name=""no name""):
        obj = np.asarray(array).view(cls)
        obj.name = name
        return obj
    def __array_finalize__(self, obj):
        if obj is None: return
        self.name = getattr(obj, 'name', ""no name"")

Z = NamedArray(np.arange(10), ""range_10"")
print (Z.name)",62
Numpy,Vectorization and broadcasting,Rank elements within a vector (0-based) using argsort twice. (★★☆),"Z = np.array([10, 40, 20, 30])
ranks = Z.argsort().argsort()
print(ranks)",62
Numpy,Indexing and selection,How to tell if a given 2D array has null columns? (★★☆),"# Author: Warren Weckesser

# null : 0 
Z = np.random.randint(0,3,(3,10))
print((~Z.any(axis=0)).any())

# null : np.nan
Z=np.array([
    [0,1,np.nan],
    [1,2,np.nan],
    [4,5,np.nan]
])
print(np.isnan(Z).all(axis=0))",62
Numpy,Core array literacy,Create a 2D Manhattan distance map from the center. (★★☆),"n = 5
Y, X = np.ogrid[:n, :n]
center = (n//2, n//2)
D = np.abs(Y - center[0]) + np.abs(X - center[1])
print(D)",62
Numpy,Core array literacy,Create sliding window views (size=3) over a 1D array. (★★☆),"x = np.arange(7)
from numpy.lib.stride_tricks import sliding_window_view
W = sliding_window_view(x, window_shape=3)
print(W)",64
Numpy,Applied patterns and advanced,"Given two arrays, X and Y, construct the Cauchy matrix C (Cij =1/(xi - yj)) (★★☆)","# Author: Evgeni Burovski

X = np.arange(8)
Y = X + 0.5
C = 1.0 / np.subtract.outer(X, Y)
print(np.linalg.det(C))",64
Numpy,Vectorization and broadcasting,Find indices of the top-3 largest elements in a vector. (★★☆),"Z = np.random.rand(10)
k = 3
idx = np.argpartition(Z, -k)[-k:]
idx = idx[np.argsort(Z[idx])[::-1]]
print(idx)",64
Numpy,Vectorization and broadcasting,Replace NaNs in each column with the column mean. (★★☆),"X = np.random.randn(5,4)
X[::2, 1] = np.nan
col_means = np.nanmean(X, axis=0)
idx = np.where(np.isnan(X))
X[idx] = np.take(col_means, idx[1])
print(X)",64
Numpy,Vectorization and broadcasting,Batched dot products of row-aligned vectors using einsum. (★★☆),"A = np.random.rand(5,4)
B = np.random.rand(5,4)
dots = np.einsum('ij,ij->i', A, B)
print(dots)",64
Numpy,Indexing and selection,Compute the correlation matrix between columns. (★★☆),"X = np.random.randn(100,4)
C = np.corrcoef(X, rowvar=False)
print(C)",64
Numpy,Applied patterns and advanced,How to convert a float (32 bits) array into an integer (32 bits) array in place?,"# Thanks Vikas (https://stackoverflow.com/a/10622758/5989906)
# & unutbu (https://stackoverflow.com/a/4396247/5989906)
Z = (np.random.rand(10)*100).astype(np.float32)
Y = Z.view(np.int32)
Y[:] = Z
print(Y)",64
Numpy,Core array literacy,"For each row, set only the max element to 1 and others to 0. (★★☆)","Z = np.random.rand(4,5)
idx = Z.argmax(axis=1)
out = np.zeros_like(Z)
out[np.arange(Z.shape[0]), idx] = 1
print(out)",64
Numpy,Applied patterns and advanced,"How to read the following file? (★★☆)
1, 2, 3, 4, 5
6,  ,  , 7, 8
 ,  , 9,10,11","from io import StringIO

# Fake file
s = StringIO('''1, 2, 3, 4, 5

                6,  ,  , 7, 8

                 ,  , 9,10,11
''')
Z = np.genfromtxt(s, delimiter=',', dtype=np.int)
print(Z)",64
Numpy,Indexing and selection,Compute block sums by reshaping a 2D array into 2x2 blocks. (★★☆),"Z = np.arange(4*6).reshape(4,6)
Z2 = Z.reshape(2,2,3,2)
block_sums = Z2.sum(axis=(1,3))
print(block_sums)",66
Numpy,Applied patterns and advanced,"Consider a random vector with shape (100,2) representing coordinates, find point by point distances (★★☆)","Z = np.random.random((10,2))
X,Y = np.atleast_2d(Z[:,0], Z[:,1])
D = np.sqrt( (X-X.T)**2 + (Y-Y.T)**2)
print(D)

# Much faster with scipy
import scipy
# Thanks Gavin Heverly-Coulson (#issue 1)
import scipy.spatial

Z = np.random.random((10,2))
D = scipy.spatial.distance.cdist(Z,Z)
print(D)",66
Numpy,Indexing and selection,Compute cosine similarity matrix between row vectors. (★★☆),"X = np.random.rand(5,4)
norms = np.linalg.norm(X, axis=1, keepdims=True)
S = (X @ X.T) / (norms @ norms.T)
print(S)",66
Numpy,Indexing and selection,Compute k=2 nearest neighbors (indices) for points in 2D. (★★☆),"Z = np.random.rand(6,2)
X, Y = Z[:,None,:], Z[None,:,:]
dist2 = ((X - Y)**2).sum(axis=2)
k = 2
idx = np.argpartition(dist2, kth=k+1, axis=1)[:, 1:k+1]
print(idx)",66
Numpy,Vectorization and broadcasting,Index of first nonzero element in each row (or -1 if none). (★★☆),"Z = np.array([[0,0,3],[0,2,0],[0,0,0]])
mask = Z != 0
idx = np.where(mask.any(axis=1), mask.argmax(axis=1), -1)
print(idx)",66
Numpy,Applied patterns and advanced,"Consider a given vector, how to add 1 to each element indexed by a second vector (be careful with repeated indices)? (★★★)","# Author: Brett Olsen

Z = np.ones(10)
I = np.random.randint(0,len(Z),20)
Z += np.bincount(I, minlength=len(Z))
print(Z)

# Another solution
# Author: Bartosz Telenczuk
np.add.at(Z, I, 1)
print(Z)",72
Numpy,Applied patterns and advanced,How to accumulate elements of a vector (X) to an array (F) based on an index list (I)? (★★★),"# Author: Alan G Isaac

X = [1,2,3,4,5,6]
I = [1,3,9,3,4,1]
F = np.bincount(I,X)
print(F)",74
Numpy,Applied patterns and advanced,"Considering a (w,h,3) image of (dtype=ubyte), compute the number of unique colors (★★☆)","# Author: Fisher Wang

w, h = 256, 256
I = np.random.randint(0, 4, (h, w, 3)).astype(np.ubyte)
colors = np.unique(I.reshape(-1, 3), axis=0)
n = len(colors)
print(n)

# Faster version
# Author: Mark Setchell
# https://stackoverflow.com/a/59671950/2836621

w, h = 256, 256
I = np.random.randint(0,4,(h,w,3), dtype=np.uint8)

# View each pixel as a single 24-bit integer, rather than three 8-bit bytes
I24 = np.dot(I.astype(np.uint32),[1,256,65536])

# Count unique colours
n = len(np.unique(I24))
print(n)",76
Numpy,Vectorization and broadcasting,How to find the most frequent value in an array?,"Z = np.random.randint(0,10,50)
print(np.bincount(Z).argmax())",78
Numpy,Vectorization and broadcasting,"Considering a four dimensions array, how to get sum over the last two axis at once? (★★★)","A = np.random.randint(0,10,(3,4,3,4))
# solution by passing a tuple of axes (introduced in numpy 1.7.0)
sum = A.sum(axis=(-2,-1))
print(sum)
# solution by flattening the last two dimensions into one
# (useful for functions that don't accept tuples for axis argument)
sum = A.reshape(A.shape[:-2] + (-1,)).sum(axis=-1)
print(sum)",78
Numpy,Indexing and selection,How to swap two rows of an array? (★★★),"# Author: Eelco Hoogendoorn

A = np.arange(25).reshape(5,5)
A[[0,1]] = A[[1,0]]
print(A)",80
