id,tier,primary,p_primary,secondary,self_contained,needs_figure
lc85,core,leetcode.monotonic-stack,0.91,leetcode.stack,0.9,0.38
lc86,fallback,leetcode.linked-lists,0.96,,0.85,0.05
lc87,fallback,leetcode.recursion,0.79,leetcode.dp-intervals,0.93,0.06
lc88,core,leetcode.two-pointers,0.96,,0.92,0.05
lc89,fallback,leetcode.bit-manipulation,0.94,,0.85,0.04
lc90,core,leetcode.subsets,0.97,leetcode.backtracking;leetcode.recursion,0.9,0.03
lc91,core,leetcode.dp-1d,0.98,,0.94,0.03
lc92,core,leetcode.in-place-reversal,0.97,leetcode.linked-lists,0.73,0.07
lc93,fallback,leetcode.backtracking,0.98,leetcode.recursion;leetcode.tree-dfs,0.94,0.03
lc96,fallback,leetcode.dp-1d,0.81,,0.79,0.13
lc97,core,leetcode.dp-strings,0.89,leetcode.dp-grid,0.91,0.07
lc99,core,leetcode.bst,0.86,leetcode.tree-dfs,0.63,0.13
lc100,core,leetcode.recursion,0.93,leetcode.binary-trees;leetcode.tree-dfs,0.81,0.12
lc103,core,leetcode.tree-bfs,0.98,,0.78,0.1
lc106,core,leetcode.binary-trees,0.9,leetcode.recursion,0.65,0.12
lc107,fallback,leetcode.tree-bfs,0.98,,0.75,0.11
lc108,fallback,leetcode.recursion,0.85,,0.45,0.13
lc109,fallback,leetcode.recursion,0.78,,0.52,0.41
lc110,core,leetcode.tree-dfs,0.92,leetcode.recursion;leetcode.binary-trees,0.3,0.17
lc111,fallback,leetcode.recursion,0.91,leetcode.tree-dfs;leetcode.binary-trees,0.74,0.12
lc112,fallback,leetcode.tree-dfs,0.98,leetcode.recursion,0.84,0.31
lc113,fallback,leetcode.tree-dfs,0.97,leetcode.backtracking;leetcode.recursion,0.83,0.09
lc115,core,leetcode.dp-strings,0.98,leetcode.dp-grid,0.78,0.18
lc119,fallback,leetcode.dp-1d,0.61,,0.83,0.47
lc120,core,leetcode.dp-grid,0.92,,0.94,0.08
lc122,core,leetcode.greedy,0.91,,0.94,0.03
lc123,core,leetcode.dp-1d,0.47,,0.92,0.03
lc125,core,leetcode.two-pointers,0.97,,0.95,0.02
lc127,core,leetcode.graphs,0.93,,0.93,0.03
lc129,fallback,leetcode.tree-dfs,0.98,leetcode.recursion;leetcode.binary-trees,0.83,0.07
lc130,core,leetcode.islands,0.97,leetcode.graphs,0.89,0.37
lc132,core,leetcode.dp-1d,0.69,,0.9,0.03
lc134,core,leetcode.greedy,0.92,,0.92,0.05
lc135,core,leetcode.greedy,0.73,,0.94,0.04
lc137,fallback,leetcode.bit-manipulation,0.83,,0.91,0.02
lc140,core,leetcode.recursion,0.86,leetcode.backtracking,0.88,0.03
lc143,core,leetcode.linked-lists,0.88,leetcode.fast-slow-pointers,0.8,0.09
lc144,core,leetcode.binary-trees,0.98,leetcode.recursion;leetcode.tree-dfs,0.54,0.31
lc145,core,leetcode.binary-trees,0.98,leetcode.recursion;leetcode.tree-dfs,0.55,0.32
lc147,fallback,leetcode.linked-lists,0.92,,0.67,0.33
lc149,fallback,leetcode.arrays-strings,0.33,,0.84,0.07
lc150,core,leetcode.stack,0.98,,0.87,0.03
lc151,core,leetcode.arrays-strings,0.37,,0.95,0.02
lc154,fallback,leetcode.binary-search,0.97,,0.91,0.04
lc156,fallback,leetcode.recursion,0.94,leetcode.tree-dfs,0.77,0.21
lc159,fallback,leetcode.sliding-window,0.99,leetcode.two-pointers,0.94,0.03
lc161,fallback,leetcode.arrays-strings,0.77,,0.94,0.03
lc162,core,leetcode.binary-search,0.84,,0.94,0.04
lc163,fallback,leetcode.arrays-strings,0.88,,0.93,0.04
lc164,fallback,leetcode.greedy,0.09,,0.91,0.03
lc165,fallback,leetcode.arrays-strings,0.86,leetcode.two-pointers,0.95,0.03
lc166,fallback,leetcode.hash-maps,0.88,,0.85,0.03
lc167,core,leetcode.binary-search,0.54,,0.94,0.03
lc168,core,leetcode.math,0.8,,0.92,0.05
lc171,fallback,leetcode.math,0.64,,0.94,0.05
lc172,fallback,leetcode.math,0.97,,0.85,0.03
lc174,fallback,leetcode.dp-grid,0.96,,0.93,0.08
lc179,fallback,leetcode.greedy,0.82,,0.87,0.03
lc186,fallback,leetcode.two-pointers,0.7,,0.91,0.03
lc187,fallback,leetcode.hash-maps,0.94,,0.93,0.03
lc188,core,leetcode.recursion,0.6,,0.91,0.03
lc190,core,leetcode.bit-manipulation,0.35,,0.88,0.05
lc191,core,leetcode.bit-manipulation,0.79,,0.89,0.03
lc201,core,leetcode.bit-manipulation,0.16,,0.85,0.03
lc202,core,leetcode.hash-maps,0.74,,0.95,0.03
lc203,fallback,leetcode.linked-lists,0.98,,0.8,0.07
lc204,core,leetcode.math,0.96,,0.8,0.02
lc205,core,leetcode.hash-maps,0.85,,0.95,0.03
lc209,core,leetcode.prefix-sums,0.77,,0.92,0.03
lc210,core,leetcode.topological-sort,0.99,,0.92,0.04
lc212,core,leetcode.trie,0.95,leetcode.backtracking,0.9,0.06
lc213,core,leetcode.dp-1d,0.97,,0.93,0.06
lc214,core,leetcode.math,0.15,,0.9,0.03
lc216,core,leetcode.backtracking,0.98,leetcode.recursion;leetcode.subsets;leetcode.tree-dfs,0.93,0.03
lc217,core,leetcode.two-pointers,0.4,,0.94,0.02
lc218,fallback,leetcode.top-k-elements,0.31,,0.89,0.34
lc219,core,leetcode.hash-maps,0.9,,0.95,0.03
lc220,fallback,leetcode.hash-maps,0.5,,0.94,0.03
lc221,fallback,leetcode.dp-grid,0.98,,0.92,0.06
lc222,core,leetcode.recursion,0.89,leetcode.binary-trees;leetcode.tree-dfs,0.72,0.13
lc223,fallback,leetcode.math,0.34,,0.9,0.12
lc224,fallback,leetcode.stack,0.92,,0.91,0.03
lc227,fallback,leetcode.stack,0.92,,0.89,0.03
lc228,fallback,leetcode.arrays-strings,0.93,leetcode.two-pointers,0.95,0.03
lc229,core,leetcode.arrays-strings,0.23,,0.89,0.02
lc231,fallback,leetcode.bit-manipulation,0.56,,0.93,0.03
lc233,fallback,leetcode.recursion,0.65,,0.93,0.03
lc241,fallback,leetcode.recursion,0.92,leetcode.dp-intervals,0.91,0.03
lc242,core,leetcode.hash-maps,0.98,,0.88,0.02
lc243,fallback,leetcode.arrays-strings,0.94,,0.92,0.03
lc245,fallback,leetcode.arrays-strings,0.93,,0.91,0.03
lc246,fallback,leetcode.two-pointers,0.89,leetcode.arrays-strings,0.47,0.18
lc247,fallback,leetcode.recursion,0.96,,0.51,0.18
lc248,fallback,leetcode.recursion,0.94,,0.68,0.18
lc249,fallback,leetcode.hash-maps,0.83,,0.93,0.04
lc250,fallback,leetcode.tree-dfs,0.93,leetcode.recursion;leetcode.binary-trees,0.8,0.12
lc252,core,leetcode.greedy,0.67,leetcode.merge-intervals,0.9,0.04
lc253,core,leetcode.prefix-sums,0.86,,0.89,0.04
lc254,fallback,leetcode.backtracking,0.97,leetcode.recursion,0.82,0.03
lc255,fallback,leetcode.stack,0.88,leetcode.bst;leetcode.monotonic-stack,0.69,0.08
lc256,fallback,leetcode.dp-1d,0.86,,0.94,0.04
lc257,fallback,leetcode.tree-dfs,0.95,leetcode.recursion;leetcode.backtracking,0.81,0.09
lc258,fallback,leetcode.math,0.97,,0.94,0.03
lc259,fallback,leetcode.two-pointers,0.97,,0.94,0.03
lc260,fallback,leetcode.bit-manipulation,0.98,,0.92,0.03
lc261,core,leetcode.union-find,0.97,,0.86,0.1
lc263,fallback,leetcode.math,0.92,,0.93,0.03
lc264,fallback,leetcode.top-k-elements,0.79,,0.93,0.03
lc265,fallback,leetcode.dp-1d,0.67,,0.91,0.04
lc266,fallback,leetcode.hash-maps,0.92,,0.79,0.03
lc267,fallback,leetcode.backtracking,0.96,leetcode.recursion;leetcode.subsets,0.89,0.03
lc268,core,leetcode.bit-manipulation,0.96,,0.92,0.02
lc269,core,leetcode.topological-sort,0.98,,0.87,0.04
lc270,fallback,leetcode.bst,0.93,,0.71,0.08
lc272,fallback,leetcode.bst,0.69,,0.73,0.08
lc273,fallback,leetcode.recursion,0.52,,0.71,0.03
lc274,fallback,leetcode.greedy,0.54,,0.93,0.03
lc275,fallback,leetcode.binary-search,0.95,,0.9,0.03
lc276,fallback,leetcode.dp-1d,0.92,,0.93,0.19
lc278,fallback,leetcode.binary-search,0.97,,0.77,0.03
lc280,fallback,leetcode.arrays-strings,0.74,leetcode.greedy,0.9,0.03
lc282,fallback,leetcode.backtracking,0.95,leetcode.recursion;leetcode.tree-dfs,0.86,0.03
lc286,core,leetcode.graphs,0.77,leetcode.islands,0.89,0.06
lc289,fallback,leetcode.arrays-strings,0.88,,0.92,0.1
lc290,fallback,leetcode.hash-maps,0.87,,0.94,0.03
lc291,fallback,leetcode.backtracking,0.96,leetcode.recursion,0.94,0.03
lc292,fallback,leetcode.math,0.78,,0.92,0.03
lc293,fallback,leetcode.arrays-strings,0.94,,0.93,0.04
lc296,fallback,leetcode.greedy,0.54,,0.9,0.07
lc298,fallback,leetcode.tree-dfs,0.95,leetcode.recursion,0.8,0.14
lc299,fallback,leetcode.hash-maps,0.96,,0.94,0.14
lc302,fallback,leetcode.binary-search,0.91,,0.9,0.14
lc305,core,leetcode.union-find,0.98,,0.91,0.11
lc306,fallback,leetcode.backtracking,0.92,leetcode.recursion;leetcode.tree-dfs,0.9,0.03
lc309,core,leetcode.recursion,0.53,,0.93,0.03
lc310,core,leetcode.topological-sort,0.54,,0.91,0.33
lc311,fallback,leetcode.arrays-strings,0.6,,0.86,0.05
lc312,core,leetcode.dp-intervals,0.98,,0.93,0.05
lc313,fallback,leetcode.top-k-elements,0.82,,0.89,0.03
lc314,fallback,leetcode.tree-dfs,0.69,,0.75,0.2
lc315,fallback,leetcode.ordered-set,0.27,,0.9,0.03
lc316,fallback,leetcode.monotonic-stack,0.8,leetcode.stack;leetcode.greedy,0.93,0.03
lc317,fallback,leetcode.graphs,0.74,,0.81,0.13
lc318,fallback,leetcode.bit-manipulation,0.6,,0.94,0.02
lc319,fallback,leetcode.math,0.96,,0.92,0.04
lc320,fallback,leetcode.recursion,0.92,leetcode.backtracking;leetcode.subsets,0.91,0.05
lc321,fallback,leetcode.greedy,0.62,,0.91,0.04
lc323,core,leetcode.graphs,0.98,,0.81,0.07
lc324,fallback,leetcode.two-pointers,0.51,,0.86,0.03
lc325,fallback,leetcode.prefix-sums,0.98,leetcode.hash-maps,0.92,0.03
lc326,fallback,leetcode.math,0.65,,0.95,0.03
lc327,fallback,leetcode.ordered-set,0.54,,0.91,0.03
lc328,core,leetcode.linked-lists,0.95,,0.84,0.06
lc329,core,leetcode.recursion,0.58,,0.92,0.06
lc330,fallback,leetcode.greedy,0.95,,0.91,0.03
lc331,fallback,leetcode.stack,0.91,,0.86,0.61
lc332,core,leetcode.recursion,0.55,,0.91,0.05
lc333,fallback,leetcode.tree-dfs,0.9,leetcode.recursion;leetcode.bst,0.76,0.4
lc334,fallback,leetcode.greedy,0.61,,0.94,0.03
lc335,fallback,leetcode.arrays-strings,0.61,,0.86,0.19
lc336,fallback,leetcode.hash-maps,0.82,,0.92,0.03
lc337,core,leetcode.tree-dfs,0.7,,0.69,0.15
lc338,core,leetcode.bit-manipulation,0.71,,0.91,0.03
lc340,core,leetcode.sliding-window,0.97,leetcode.two-pointers,0.93,0.03
lc342,fallback,leetcode.bit-manipulation,0.63,,0.92,0.03
lc343,core,leetcode.dp-1d,0.93,,0.94,0.03
lc344,core,leetcode.two-pointers,0.97,,0.94,0.02
lc345,fallback,leetcode.two-pointers,0.98,,0.95,0.02
lc349,fallback,leetcode.hash-maps,0.9,,0.94,0.02
lc350,fallback,leetcode.hash-maps,0.97,,0.93,0.03
lc351,fallback,leetcode.backtracking,0.97,leetcode.recursion;leetcode.graphs,0.64,0.39
lc354,fallback,leetcode.dp-lis,0.97,,0.92,0.06
lc356,fallback,leetcode.hash-maps,0.88,,0.88,0.09
lc357,fallback,leetcode.recursion,0.71,,0.9,0.03
lc358,fallback,leetcode.top-k-elements,0.78,leetcode.greedy,0.9,0.03
lc360,fallback,leetcode.two-pointers,0.95,,0.92,0.03
lc361,fallback,leetcode.prefix-sums,0.76,leetcode.arrays-strings,0.93,0.1
lc363,fallback,leetcode.ordered-set,0.8,leetcode.prefix-sums,0.88,0.3
lc365,fallback,leetcode.math,0.97,,0.9,0.05
lc366,fallback,leetcode.recursion,0.88,leetcode.tree-dfs;leetcode.binary-trees,0.75,0.14
lc367,fallback,leetcode.binary-search,0.83,,0.93,0.02
lc368,core,leetcode.dp-1d,0.82,leetcode.dp-lis,0.92,0.03
lc369,fallback,leetcode.linked-lists,0.72,,0.8,0.04
lc370,fallback,leetcode.prefix-sums,0.76,,0.91,0.04
lc371,core,leetcode.bit-manipulation,0.93,,0.9,0.03
lc373,fallback,leetcode.top-k-elements,0.93,leetcode.k-way-merge,0.91,0.03
lc375,fallback,leetcode.dp-intervals,0.95,,0.92,0.03
lc376,fallback,leetcode.dp-1d,0.82,,0.93,0.03
lc377,core,leetcode.dp-1d,0.97,,0.93,0.02
lc378,fallback,leetcode.binary-search,0.95,,0.91,0.03
lc383,fallback,leetcode.hash-maps,0.98,,0.95,0.03
lc386,fallback,leetcode.tree-dfs,0.58,,0.81,0.03
lc387,fallback,leetcode.hash-maps,0.97,,0.96,0.02
lc388,fallback,leetcode.stack,0.93,,0.88,0.22
lc389,fallback,leetcode.hash-maps,0.96,,0.94,0.02
lc390,fallback,leetcode.math,0.57,,0.93,0.04
lc391,fallback,leetcode.hash-maps,0.77,,0.86,0.24
lc392,fallback,leetcode.two-pointers,0.89,leetcode.arrays-strings,0.95,0.03
lc393,fallback,leetcode.arrays-strings,0.61,,0.93,0.06
lc395,fallback,leetcode.recursion,0.82,,0.94,0.03
lc396,fallback,leetcode.math,0.48,,0.94,0.05
lc397,fallback,leetcode.greedy,0.68,,0.94,0.03
lc399,core,leetcode.union-find,0.95,,0.9,0.03
lc400,fallback,leetcode.math,0.89,,0.91,0.04
lc401,fallback,leetcode.bit-manipulation,0.55,,0.89,0.52
lc402,core,leetcode.monotonic-stack,0.95,leetcode.greedy;leetcode.stack,0.9,0.03
lc403,fallback,leetcode.recursion,0.68,,0.93,0.05
lc404,fallback,leetcode.recursion,0.91,leetcode.tree-dfs;leetcode.binary-trees,0.87,0.11
lc405,fallback,leetcode.bit-manipulation,0.37,,0.77,0.04
lc406,fallback,leetcode.greedy,0.86,,0.93,0.05
lc407,fallback,leetcode.graphs,0.34,,0.56,0.34
lc408,fallback,leetcode.arrays-strings,0.86,leetcode.two-pointers,0.94,0.04
lc409,fallback,leetcode.hash-maps,0.92,leetcode.greedy,0.92,0.03
lc410,core,leetcode.binary-search,0.96,,0.93,0.03
lc411,fallback,leetcode.bit-manipulation,0.78,,0.91,0.03
lc412,fallback,leetcode.arrays-strings,0.8,,0.96,0.02
lc413,fallback,leetcode.dp-1d,0.64,,0.91,0.03
lc414,fallback,leetcode.arrays-strings,0.66,,0.93,0.02
lc415,fallback,leetcode.arrays-strings,0.91,,0.93,0.03
lc417,core,leetcode.graphs,0.87,leetcode.islands,0.91,0.17
lc418,fallback,leetcode.arrays-strings,0.83,,0.91,0.06
lc419,fallback,leetcode.arrays-strings,0.86,,0.93,0.1
lc420,fallback,leetcode.greedy,0.85,,0.93,0.03
lc421,core,leetcode.trie,0.92,,0.92,0.03
lc422,fallback,leetcode.arrays-strings,0.91,,0.9,0.09
lc423,fallback,leetcode.hash-maps,0.91,,0.79,0.03
lc424,core,leetcode.sliding-window,0.97,leetcode.two-pointers,0.92,0.03
lc425,fallback,leetcode.backtracking,0.93,leetcode.trie;leetcode.recursion,0.86,0.08
lc433,fallback,leetcode.graphs,0.95,,0.94,0.03
lc434,fallback,leetcode.arrays-strings,0.32,,0.95,0.02
lc435,core,leetcode.greedy,0.97,,0.93,0.05
lc436,fallback,leetcode.binary-search,0.53,,0.94,0.04
lc437,fallback,leetcode.hash-maps,0.95,leetcode.prefix-sums;leetcode.tree-dfs;leetcode.recursion,0.8,0.36
lc438,fallback,leetcode.sliding-window,0.96,leetcode.hash-maps,0.81,0.03
lc439,fallback,leetcode.stack,0.93,,0.91,0.03
lc440,fallback,leetcode.trie,0.43,,0.88,0.03
lc441,fallback,leetcode.math,0.9,,0.93,0.11
lc442,fallback,leetcode.cyclic-sort,0.97,,0.93,0.03
lc443,fallback,leetcode.two-pointers,0.92,leetcode.arrays-strings,0.94,0.03
lc444,fallback,leetcode.topological-sort,0.96,,0.89,0.04
lc445,fallback,leetcode.stack,0.75,,0.78,0.06
lc446,fallback,leetcode.hash-maps,0.54,,0.91,0.03
lc447,fallback,leetcode.hash-maps,0.97,,0.84,0.07
lc448,fallback,leetcode.hash-maps,0.94,,0.94,0.02
lc450,core,leetcode.bst,0.98,leetcode.recursion,0.7,0.26
lc451,core,leetcode.hash-maps,0.74,,0.94,0.02
lc452,fallback,leetcode.greedy,0.98,,0.95,0.1
lc453,fallback,leetcode.math,0.81,,0.94,0.03
lc454,fallback,leetcode.hash-maps,0.98,,0.93,0.03
lc455,core,leetcode.greedy,0.97,leetcode.two-pointers,0.93,0.03
lc456,fallback,leetcode.monotonic-stack,0.84,leetcode.stack,0.94,0.04
lc457,fallback,leetcode.fast-slow-pointers,0.96,,0.92,0.26
lc458,fallback,leetcode.math,0.52,,0.92,0.05
lc459,fallback,leetcode.arrays-strings,0.17,,0.92,0.03
lc461,fallback,leetcode.bit-manipulation,0.98,,0.91,0.06
lc462,fallback,leetcode.greedy,0.65,,0.93,0.03
lc463,core,leetcode.arrays-strings,0.88,,0.91,0.29
lc464,fallback,leetcode.recursion,0.59,,0.92,0.04
lc465,fallback,leetcode.bit-manipulation,0.63,,0.84,0.04
lc466,fallback,leetcode.arrays-strings,0.75,,0.91,0.17
lc467,fallback,leetcode.dp-1d,0.58,,0.89,0.05
lc468,fallback,leetcode.arrays-strings,0.68,,0.95,0.03
lc469,fallback,leetcode.arrays-strings,0.32,,0.58,0.2
lc471,fallback,leetcode.dp-intervals,0.91,,0.88,0.03
lc472,fallback,leetcode.trie,0.93,leetcode.recursion,0.9,0.03
lc473,core,leetcode.backtracking,0.97,leetcode.recursion,0.92,0.06
lc474,fallback,leetcode.knapsack-dp,0.94,,0.93,0.03
lc475,fallback,leetcode.binary-search,0.93,,0.91,0.06
lc476,fallback,leetcode.bit-manipulation,0.97,,0.93,0.03
lc477,fallback,leetcode.bit-manipulation,0.62,,0.92,0.04
lc479,fallback,leetcode.math,0.57,,0.81,0.03
lc480,fallback,leetcode.two-heaps,0.97,,0.85,0.04
lc481,fallback,leetcode.arrays-strings,0.83,,0.89,0.05
lc482,fallback,leetcode.arrays-strings,0.93,,0.94,0.03
lc483,fallback,leetcode.binary-search,0.86,,0.89,0.04
lc484,fallback,leetcode.arrays-strings,0.68,,0.92,0.03
lc485,core,leetcode.arrays-strings,0.96,,0.94,0.03
lc486,fallback,leetcode.recursion,0.68,,0.94,0.03
lc487,fallback,leetcode.sliding-window,0.9,leetcode.two-pointers,0.9,0.03
lc488,fallback,leetcode.graphs,0.66,,0.92,0.06
lc490,fallback,leetcode.graphs,0.92,,0.91,0.18
lc491,fallback,leetcode.backtracking,0.97,leetcode.subsets;leetcode.recursion,0.9,0.03
lc492,fallback,leetcode.math,0.8,,0.94,0.04
lc493,core,leetcode.sorting-algorithms,0.94,,0.94,0.03
lc494,core,leetcode.knapsack-dp,0.94,,0.92,0.03
lc495,fallback,leetcode.arrays-strings,0.81,,0.95,0.04
lc496,core,leetcode.monotonic-stack,0.98,leetcode.stack,0.95,0.05
lc498,fallback,leetcode.arrays-strings,0.88,,0.76,0.23
lc499,fallback,leetcode.graphs,0.64,,0.85,0.17
lc500,fallback,leetcode.hash-maps,0.64,,0.88,0.15
lc501,fallback,leetcode.tree-dfs,0.71,leetcode.bst,0.78,0.09
lc502,core,leetcode.greedy,0.9,leetcode.two-heaps,0.92,0.03
lc503,core,leetcode.monotonic-stack,0.98,leetcode.stack,0.93,0.04
lc504,fallback,leetcode.math,0.89,,0.83,0.03
lc505,fallback,leetcode.graphs,0.64,,0.9,0.16
lc506,fallback,leetcode.sorting-algorithms,0.35,,0.95,0.03
lc507,fallback,leetcode.math,0.79,,0.95,0.03
lc508,fallback,leetcode.tree-dfs,0.93,leetcode.hash-maps;leetcode.recursion,0.81,0.12
lc509,core,leetcode.dp-1d,0.67,,0.96,0.03
lc513,fallback,leetcode.tree-bfs,0.97,leetcode.binary-trees,0.75,0.16
lc514,fallback,leetcode.dp-1d,0.3,,0.92,0.16
lc515,fallback,leetcode.tree-bfs,0.98,leetcode.binary-trees,0.73,0.13
lc516,core,leetcode.dp-grid,0.55,,0.94,0.03
lc517,fallback,leetcode.prefix-sums,0.55,,0.85,0.07
lc518,core,leetcode.dp-grid,0.53,,0.93,0.03
lc520,fallback,leetcode.arrays-strings,0.81,,0.96,0.02
lc521,fallback,leetcode.greedy,0.09,,0.84,0.03
lc522,fallback,leetcode.arrays-strings,0.78,,0.93,0.07
lc523,fallback,leetcode.prefix-sums,0.93,leetcode.hash-maps,0.94,0.03
lc524,fallback,leetcode.arrays-strings,0.8,leetcode.two-pointers,0.91,0.03
lc525,fallback,leetcode.prefix-sums,0.96,leetcode.hash-maps,0.93,0.03
lc526,fallback,leetcode.backtracking,0.97,leetcode.recursion;leetcode.subsets,0.94,0.03
lc527,fallback,leetcode.trie,0.95,,0.91,0.04
lc529,fallback,leetcode.graphs,0.83,leetcode.recursion;leetcode.islands,0.93,0.11
lc530,fallback,leetcode.bst,0.8,leetcode.tree-dfs;leetcode.recursion;leetcode.binary-trees,0.71,0.11
lc531,fallback,leetcode.arrays-strings,0.77,,0.95,0.08
lc532,fallback,leetcode.hash-maps,0.96,,0.93,0.03
lc533,fallback,leetcode.hash-maps,0.63,,0.92,0.28
lc536,fallback,leetcode.recursion,0.91,leetcode.binary-trees,0.74,0.1
lc537,fallback,leetcode.math,0.41,,0.91,0.03
lc538,fallback,leetcode.recursion,0.83,leetcode.tree-dfs;leetcode.bst;leetcode.binary-trees,0.85,0.14
lc539,fallback,leetcode.greedy,0.37,,0.87,0.03
lc540,core,leetcode.binary-search,0.94,,0.93,0.03
lc541,fallback,leetcode.arrays-strings,0.87,,0.95,0.04
lc542,core,leetcode.graphs,0.71,leetcode.islands,0.92,0.06
lc544,fallback,leetcode.arrays-strings,0.86,,0.9,0.06
lc545,core,leetcode.tree-dfs,0.93,leetcode.recursion;leetcode.binary-trees,0.85,0.19
lc546,fallback,leetcode.dp-intervals,0.74,leetcode.recursion,0.9,0.05
lc547,core,leetcode.graphs,0.97,,0.93,0.07
lc548,fallback,leetcode.prefix-sums,0.92,leetcode.hash-maps,0.91,0.06
lc549,fallback,leetcode.tree-dfs,0.96,leetcode.recursion,0.72,0.15
lc551,fallback,leetcode.arrays-strings,0.44,,0.97,0.03
lc552,fallback,leetcode.recursion,0.61,,0.9,0.03
lc553,fallback,leetcode.math,0.46,,0.9,0.03
lc554,fallback,leetcode.hash-maps,0.97,leetcode.prefix-sums,0.92,0.26
lc555,fallback,leetcode.arrays-strings,0.54,,0.84,0.1
lc556,fallback,leetcode.two-pointers,0.54,,0.92,0.03
lc557,fallback,leetcode.arrays-strings,0.51,,0.94,0.03
lc561,fallback,leetcode.greedy,0.92,,0.94,0.03
lc562,fallback,leetcode.dp-grid,0.91,,0.92,0.09
lc563,fallback,leetcode.tree-dfs,0.95,leetcode.recursion;leetcode.binary-trees,0.85,0.08
lc564,fallback,leetcode.math,0.65,,0.9,0.03
lc565,fallback,leetcode.graphs,0.61,,0.93,0.05
lc566,fallback,leetcode.arrays-strings,0.93,,0.93,0.06
lc567,core,leetcode.sliding-window,0.95,leetcode.hash-maps,0.92,0.03
lc568,fallback,leetcode.dp-grid,0.56,,0.88,0.06
lc572,core,leetcode.recursion,0.89,leetcode.binary-trees;leetcode.tree-dfs,0.85,0.11
lc573,fallback,leetcode.greedy,0.54,,0.77,0.09
lc575,fallback,leetcode.hash-maps,0.86,,0.95,0.03
lc576,fallback,leetcode.recursion,0.69,,0.91,0.09
lc581,fallback,leetcode.two-pointers,0.55,,0.93,0.03
lc582,fallback,leetcode.graphs,0.89,leetcode.tree-dfs;leetcode.recursion,0.93,0.22
lc583,core,leetcode.dp-strings,0.98,,0.94,0.03
lc587,fallback,leetcode.stack,0.38,,0.77,0.18
lc591,fallback,leetcode.stack,0.94,,0.56,0.14
lc592,fallback,leetcode.math,0.72,,0.86,0.03
lc593,fallback,leetcode.math,0.15,,0.92,0.07
lc594,fallback,leetcode.hash-maps,0.97,,0.94,0.03
lc598,fallback,leetcode.arrays-strings,0.26,,0.93,0.06
lc599,fallback,leetcode.hash-maps,0.92,,0.94,0.03
lc600,fallback,leetcode.recursion,0.66,,0.93,0.03
