concept,question_id,champion_id,p_harder,rounds
cnn.stride-views,1231,1230,0.148895,1
cnn.stride-views,1232,1230,0.143192,1
cnn.training-loop,425,1455,0.104895,1
cnn.training-loop,1441,1455,0.084866,1
cnn.training-loop,1442,1455,0.064821,1
cnn.training-loop,1443,1455,0.034654,1
cnn.training-loop,1444,1455,0.064821,1
cnn.training-loop,1445,1455,0.053032,1
cnn.training-loop,1446,1455,0.144928,1
cnn.training-loop,1447,1455,0.028334,1
cnn.training-loop,1448,1455,0.063707,1
cnn.training-loop,1449,1455,0.139700,1
cnn.training-loop,1450,1455,0.038781,1
cnn.training-loop,1451,1455,0.074847,1
cnn.training-loop,1452,1455,0.034654,1
cnn.training-loop,1453,1455,0.040000,1
cnn.training-loop,1454,1455,0.024508,1
cnn.training-loop,1455,1455,0.500000,1
cnn.training-loop,1456,1455,0.248792,1
cnn.training-loop,1457,1455,0.120688,1
einops.attention-einsum,1555,1559,0.106327,3
einops.attention-einsum,1556,1559,0.147494,3
einops.attention-einsum,1557,1559,0.211653,3
einops.attention-einsum,1558,1559,0.307749,3
einops.attention-einsum,1559,1559,0.500000,3
einops.attention-einsum,1560,1559,0.284853,3
einops.attention-einsum,1561,1559,0.122829,3
einops.attention-einsum,1562,1559,0.317904,3
einops.channel-groups-temporal,316,1621,0.381408,2
einops.channel-groups-temporal,359,1621,0.340187,2
einops.channel-groups-temporal,362,1621,0.489149,2
einops.channel-groups-temporal,369,1621,0.317189,2
einops.channel-groups-temporal,372,1621,0.315667,2
einops.channel-groups-temporal,375,1621,0.342351,2
einops.channel-groups-temporal,378,1621,0.320120,2
einops.channel-groups-temporal,397,1621,0.201954,2
einops.channel-groups-temporal,1618,1621,0.215692,2
einops.channel-groups-temporal,1619,1621,0.400437,2
einops.channel-groups-temporal,1620,1621,0.381553,2
einops.channel-groups-temporal,1621,1621,0.500000,2
einops.channel-groups-temporal,1622,1621,0.224559,2
einops.channel-groups-temporal,1623,1621,0.410094,2
einops.dl-flatten-heads,349,1616,0.073605,2
einops.dl-flatten-heads,356,1616,0.074634,2
einops.dl-flatten-heads,384,1616,0.071039,2
einops.dl-flatten-heads,394,1616,0.093932,2
einops.dl-flatten-heads,396,1616,0.142857,2
einops.dl-flatten-heads,1609,1616,0.098200,2
einops.dl-flatten-heads,1610,1616,0.087967,2
einops.dl-flatten-heads,1611,1616,0.145496,2
einops.dl-flatten-heads,1612,1616,0.073605,2
einops.dl-flatten-heads,1613,1616,0.116694,2
einops.dl-flatten-heads,1614,1616,0.241055,2
einops.dl-flatten-heads,1615,1616,0.247842,2
einops.dl-flatten-heads,1616,1616,0.500000,2
einops.dl-flatten-heads,1617,1616,0.233177,2
einops.einsum,847,862,0.067293,1
einops.einsum,848,862,0.071039,1
einops.einsum,849,862,0.163961,1
einops.einsum,850,862,0.278946,1
einops.einsum,851,862,0.110222,1
einops.einsum,852,862,0.120688,1
einops.einsum,853,862,0.269818,1
einops.einsum,854,862,0.311565,1
einops.einsum,855,862,0.081575,1
einops.einsum,856,862,0.139875,1
einops.einsum,857,862,0.364153,1
einops.einsum,858,862,0.135877,1
einops.einsum,859,862,0.161173,1
einops.einsum,860,862,0.141420,1
einops.einsum,861,862,0.262208,1
einops.einsum,862,862,0.500000,1
einops.einsum,863,862,0.321910,1
einops.einsum,864,862,0.091991,1
einops.einsum,865,862,0.228560,1
einops.einsum,866,862,0.153445,1
einops.einsum,867,862,0.141420,1
einops.einsum,868,862,0.102325,1
einops.einsum,869,862,0.106327,1
einops.einsum,870,862,0.153445,1
einops.einsum,871,862,0.270101,1
einops.einsum,872,862,0.309301,1
einops.einsum,873,862,0.250636,1
einops.einsum,874,862,0.168552,1
einops.einsum,875,862,0.326835,1
einops.einsum,876,862,0.376840,1
einops.einsum,877,862,0.477380,1
einops.einsum,878,862,0.403222,1
einops.einsum,879,862,0.056775,1
einops.einsum,880,862,0.091991,1
einops.einsum,881,862,0.124971,1
einops.einsum,882,862,0.155860,1
einops.einsum,883,862,0.120688,1
einops.einsum,884,862,0.114023,1
einops.einsum,885,862,0.135877,1
einops.einsum,886,862,0.314713,1
einops.einsum,887,862,0.197031,1
einops.einsum,888,862,0.430582,1
einops.grids-montage,318,531,0.324500,2
einops.grids-montage,322,531,0.366322,2
einops.grids-montage,329,531,0.205820,2
einops.grids-montage,364,531,0.180804,2
einops.grids-montage,371,531,0.270692,2
einops.grids-montage,381,531,0.180672,2
einops.grids-montage,382,531,0.146669,2
einops.grids-montage,389,531,0.195194,2
einops.grids-montage,531,531,0.500000,2
einops.grids-montage,909,531,0.249386,2
einops.grids-montage,910,531,0.271520,2
einops.grids-montage,911,531,0.157333,2
einops.grids-montage,912,531,0.417840,2
einops.grids-montage,1642,531,0.174418,2
einops.merge-axes,314,400,0.219709,3
einops.merge-axes,342,400,0.179579,3
einops.merge-axes,346,400,0.187092,3
einops.merge-axes,347,400,0.202119,3
einops.merge-axes,353,400,0.194683,3
einops.merge-axes,357,400,0.215692,3
einops.merge-axes,373,400,0.456013,3
einops.merge-axes,380,400,0.568700,3
einops.merge-axes,391,400,0.154104,3
einops.merge-axes,392,400,0.255397,3
einops.merge-axes,400,400,0.500000,3
einops.merge-axes,889,400,0.234725,3
einops.merge-axes,890,400,0.274486,3
einops.merge-axes,891,400,0.339791,3
einops.merge-axes,892,400,0.309197,3
einops.merge-axes,905,400,0.451972,3
einops.merge-axes,906,400,0.337004,3
einops.merge-axes,907,400,0.281749,3
einops.merge-axes,908,400,0.464395,3
einops.patches-space-depth,313,1631,0.285765,3
einops.patches-space-depth,321,1631,0.346058,3
einops.patches-space-depth,323,1631,0.322428,3
einops.patches-space-depth,343,1631,0.322428,3
einops.patches-space-depth,350,1631,0.339862,3
einops.patches-space-depth,395,1631,0.494468,3
einops.patches-space-depth,398,1631,0.324500,3
einops.patches-space-depth,401,1631,0.381374,3
einops.patches-space-depth,403,1631,0.261276,3
einops.patches-space-depth,404,1631,0.376643,3
einops.patches-space-depth,1630,1631,0.319011,3
einops.patches-space-depth,1631,1631,0.500000,3
einops.patches-space-depth,1632,1631,0.421535,3
einops.patches-space-depth,1633,1631,0.442913,3
einops.pattern-language,319,946,0.168552,3
einops.pattern-language,327,946,0.128496,3
einops.pattern-language,330,946,0.168552,3
einops.pattern-language,335,946,0.117290,3
einops.pattern-language,344,946,0.154104,3
einops.pattern-language,345,946,0.143116,3
einops.pattern-language,379,946,0.146656,3
einops.pattern-language,388,946,0.087902,3
einops.pattern-language,913,946,0.154104,3
einops.pattern-language,914,946,0.103341,3
einops.pattern-language,915,946,0.110449,3
einops.pattern-language,916,946,0.139520,3
einops.pattern-language,941,946,0.087902,3
einops.pattern-language,942,946,0.135877,3
einops.pattern-language,943,946,0.188934,3
einops.pattern-language,944,946,0.208945,3
einops.pattern-language,945,946,0.194237,3
einops.pattern-language,946,946,0.500000,3
einops.pattern-language,947,946,0.417923,3
einops.pattern-language,1644,946,0.494851,3
einops.pooling,324,336,0.093932,1
einops.pooling,336,336,0.500000,1
einops.pooling,354,336,0.194562,1
einops.pooling,363,336,0.098200,1
einops.pooling,368,336,0.212909,1
einops.pooling,377,336,0.151714,1
einops.pooling,917,336,0.099554,1
einops.pooling,918,336,0.104895,1
einops.pooling,919,336,0.104895,1
einops.pooling,920,336,0.224009,1
einops.pooling,929,336,0.059214,1
einops.pooling,930,336,0.064821,1
einops.pooling,931,336,0.059214,1
einops.pooling,1638,336,0.104895,1
einops.pooling,1639,336,0.150000,1
einops.pooling,1640,336,0.194562,1
einops.pooling,1641,336,0.104048,1
einops.reduce-model,325,340,0.164985,4
einops.reduce-model,326,340,0.190342,4
einops.reduce-model,328,340,0.174418,4
einops.reduce-model,332,340,0.566970,4
einops.reduce-model,340,340,0.500000,4
einops.reduce-model,367,340,0.124971,4
einops.reduce-model,370,340,0.493582,4
einops.reduce-model,399,340,0.362591,4
einops.reduce-model,402,340,0.614838,4
einops.reduce-model,932,340,0.163961,4
einops.reduce-model,1634,340,0.362852,4
einops.reduce-model,1635,340,0.516379,4
einops.reduce-model,1636,340,0.540145,4
einops.reduce-model,1637,340,0.625013,4
einops.reduce-model,1653,340,0.434674,4
einops.repeat-model,317,938,0.079427,2
einops.repeat-model,338,938,0.099554,2
einops.repeat-model,339,938,0.091991,2
einops.repeat-model,341,938,0.130000,2
einops.repeat-model,348,938,0.119639,2
einops.repeat-model,351,938,0.093932,2
einops.repeat-model,352,938,0.160000,2
einops.repeat-model,355,938,0.234074,2
einops.repeat-model,383,938,0.104048,2
einops.repeat-model,385,938,0.083788,2
einops.repeat-model,893,938,0.079427,2
einops.repeat-model,894,938,0.093932,2
einops.repeat-model,895,938,0.063364,2
einops.repeat-model,896,938,0.064821,2
einops.repeat-model,897,938,0.279562,2
einops.repeat-model,898,938,0.264970,2
einops.repeat-model,899,938,0.239857,2
einops.repeat-model,900,938,0.149725,2
einops.repeat-model,901,938,0.104048,2
einops.repeat-model,902,938,0.099554,2
einops.repeat-model,903,938,0.093932,2
einops.repeat-model,904,938,0.129672,2
einops.repeat-model,933,938,0.091991,2
einops.repeat-model,934,938,0.066957,2
einops.repeat-model,935,938,0.085334,2
einops.repeat-model,936,938,0.127002,2
einops.repeat-model,937,938,0.201029,2
einops.repeat-model,938,938,0.500000,2
einops.repeat-model,939,938,0.092506,2
einops.repeat-model,940,938,0.232308,2
einops.singleton-and-lists,333,334,0.304108,4
einops.singleton-and-lists,334,334,0.500000,4
einops.singleton-and-lists,358,334,0.294188,4
einops.singleton-and-lists,360,334,0.154104,4
einops.singleton-and-lists,361,334,0.236368,4
einops.singleton-and-lists,365,334,0.590860,4
einops.singleton-and-lists,374,334,0.460083,4
einops.singleton-and-lists,376,334,0.405784,4
einops.singleton-and-lists,1624,334,0.429742,4
einops.singleton-and-lists,1625,334,0.209596,4
einops.singleton-and-lists,1626,334,0.556620,4
einops.singleton-and-lists,1627,334,0.304947,4
einops.singleton-and-lists,1628,334,0.433030,4
einops.singleton-and-lists,1629,334,0.392399,4
einops.split-axes,315,331,0.142857,1
einops.split-axes,320,331,0.261276,1
einops.split-axes,331,331,0.500000,1
einops.split-axes,337,331,0.176466,1
einops.split-axes,390,331,0.102325,1
einops.split-axes,921,331,0.147494,1
einops.split-axes,922,331,0.233177,1
einops.split-axes,923,331,0.196952,1
einops.split-axes,924,331,0.153338,1
einops.split-axes,925,331,0.108390,1
einops.split-axes,926,331,0.186721,1
einops.split-axes,927,331,0.163468,1
einops.split-axes,928,331,0.054785,1
einops.split-axes,1643,331,0.247449,1
python.calling-functions,592,597,0.034835,2
python.calling-functions,593,597,0.109022,2
python.calling-functions,594,597,0.189586,2
python.calling-functions,595,597,0.055375,2
python.calling-functions,596,597,0.299618,2
python.calling-functions,597,597,0.500000,2
python.calling-functions,780,597,0.034835,2
python.calling-functions,781,597,0.060982,2
python.calling-functions,782,597,0.052408,2
python.calling-functions,783,597,0.095949,2
python.calling-functions,784,597,0.049302,2
python.calling-functions,785,597,0.073135,2
python.calling-functions,786,597,0.448308,2
python.calling-functions,787,597,0.163961,2
python.calling-functions,788,597,0.117290,2
python.calling-functions,789,597,0.139875,2
python.calling-functions,790,597,0.139875,2
python.calling-functions,791,597,0.124324,2
python.calling-functions,792,597,0.081458,2
python.calling-functions,793,597,0.179815,2
python.calling-functions,794,597,0.177892,2
python.calling-functions,795,597,0.313664,2
python.calling-functions,796,597,0.437808,2
python.calling-functions,797,597,0.323404,2
python.control-flow,1281,1295,0.034835,1
python.control-flow,1282,1295,0.066957,1
python.control-flow,1283,1295,0.040423,1
python.control-flow,1284,1295,0.063707,1
python.control-flow,1285,1295,0.052408,1
python.control-flow,1286,1295,0.052408,1
python.control-flow,1287,1295,0.081458,1
python.control-flow,1288,1295,0.070094,1
python.control-flow,1289,1295,0.081458,1
python.control-flow,1290,1295,0.128496,1
python.control-flow,1291,1295,0.287548,1
python.control-flow,1292,1295,0.182624,1
python.control-flow,1293,1295,0.205820,1
python.control-flow,1294,1295,0.360645,1
python.control-flow,1295,1295,0.500000,1
python.control-flow,1296,1295,0.259069,1
python.defining-functions,598,1527,0.049042,1
python.defining-functions,599,1527,0.056775,1
python.defining-functions,600,1527,0.088972,1
python.defining-functions,601,1527,0.095949,1
python.defining-functions,602,1527,0.197564,1
python.defining-functions,603,1527,0.208945,1
python.defining-functions,1526,1527,0.078101,1
python.defining-functions,1527,1527,0.500000,1
python.dots-and-imports,604,1529,0.081800,1
python.dots-and-imports,605,1529,0.049302,1
python.dots-and-imports,606,1529,0.105771,1
python.dots-and-imports,607,1529,0.228537,1
python.dots-and-imports,608,1529,0.295749,1
python.dots-and-imports,609,1529,0.328903,1
python.dots-and-imports,1528,1529,0.179129,1
python.dots-and-imports,1529,1529,0.500000,1
python.indexing,586,778,0.040423,2
python.indexing,587,778,0.076092,2
python.indexing,588,778,0.186108,2
python.indexing,589,778,0.267327,2
python.indexing,590,778,0.299942,2
python.indexing,591,778,0.467882,2
python.indexing,762,778,0.161810,2
python.indexing,763,778,0.150403,2
python.indexing,764,778,0.068795,2
python.indexing,765,778,0.063707,2
python.indexing,766,778,0.105841,2
python.indexing,767,778,0.319043,2
python.indexing,768,778,0.194683,2
python.indexing,769,778,0.117290,2
python.indexing,770,778,0.115247,2
python.indexing,771,778,0.167352,2
python.indexing,772,778,0.153667,2
python.indexing,773,778,0.182624,2
python.indexing,774,778,0.172096,2
python.indexing,775,778,0.362711,2
python.indexing,776,778,0.240048,2
python.indexing,777,778,0.278856,2
python.indexing,778,778,0.500000,2
python.indexing,779,778,0.437199,2
python.lists-and-tuples,580,585,0.078977,1
python.lists-and-tuples,581,585,0.046028,1
python.lists-and-tuples,582,585,0.070094,1
python.lists-and-tuples,583,585,0.145483,1
python.lists-and-tuples,584,585,0.161390,1
python.lists-and-tuples,585,585,0.500000,1
python.lists-and-tuples,744,585,0.345645,1
python.lists-and-tuples,745,585,0.128496,1
python.lists-and-tuples,746,585,0.094061,1
python.lists-and-tuples,747,585,0.100000,1
python.lists-and-tuples,748,585,0.142154,1
python.lists-and-tuples,749,585,0.055375,1
python.lists-and-tuples,750,585,0.194683,1
python.lists-and-tuples,751,585,0.172451,1
python.lists-and-tuples,752,585,0.168727,1
python.lists-and-tuples,753,585,0.102608,1
python.lists-and-tuples,754,585,0.168552,1
python.lists-and-tuples,755,585,0.290731,1
python.lists-and-tuples,756,585,0.157765,1
python.lists-and-tuples,757,585,0.342285,1
python.lists-and-tuples,758,585,0.183393,1
python.lists-and-tuples,759,585,0.273926,1
python.lists-and-tuples,760,585,0.174095,1
python.lists-and-tuples,761,585,0.291855,1
python.types-and-conversion,574,717,0.042541,2
python.types-and-conversion,575,717,0.052408,2
python.types-and-conversion,576,717,0.136738,2
python.types-and-conversion,577,717,0.130392,2
python.types-and-conversion,578,717,0.127174,2
python.types-and-conversion,579,717,0.216780,2
python.types-and-conversion,713,717,0.066957,2
python.types-and-conversion,714,717,0.087289,2
python.types-and-conversion,715,717,0.146656,2
python.types-and-conversion,716,717,0.172451,2
python.types-and-conversion,717,717,0.500000,2
python.types-and-conversion,731,717,0.052408,2
python.types-and-conversion,732,717,0.056775,2
python.types-and-conversion,733,717,0.058227,2
python.types-and-conversion,734,717,0.037715,2
python.types-and-conversion,735,717,0.060322,2
python.types-and-conversion,736,717,0.097054,2
python.types-and-conversion,737,717,0.106933,2
python.types-and-conversion,738,717,0.081575,2
python.types-and-conversion,739,717,0.095949,2
python.types-and-conversion,740,717,0.291026,2
python.types-and-conversion,741,717,0.130392,2
python.types-and-conversion,742,717,0.105841,2
python.types-and-conversion,743,717,0.209513,2
python.values-and-names,568,712,0.040423,3
python.values-and-names,569,712,0.094061,3
python.values-and-names,570,712,0.078977,3
python.values-and-names,571,712,0.102608,3
python.values-and-names,572,712,0.247523,3
python.values-and-names,573,712,0.375361,3
python.values-and-names,708,712,0.097054,3
python.values-and-names,709,712,0.526972,3
python.values-and-names,710,712,0.234476,3
python.values-and-names,711,712,0.346814,3
python.values-and-names,712,712,0.500000,3
python.values-and-names,718,712,0.081458,3
python.values-and-names,719,712,0.128496,3
python.values-and-names,720,712,0.118303,3
python.values-and-names,721,712,0.066957,3
python.values-and-names,722,712,0.105841,3
python.values-and-names,723,712,0.110449,3
python.values-and-names,724,712,0.084568,3
python.values-and-names,725,712,0.160552,3
python.values-and-names,726,712,0.145483,3
python.values-and-names,727,712,0.161390,3
python.values-and-names,728,712,0.236177,3
python.values-and-names,729,712,0.287617,3
python.values-and-names,730,712,0.367238,3
raytracing.batched-segments,1105,1708,0.020000,2
raytracing.batched-segments,1106,1708,0.034654,2
raytracing.batched-segments,1107,1708,0.091991,2
raytracing.batched-segments,1108,1708,0.081458,2
raytracing.batched-segments,1109,1708,0.089498,2
raytracing.batched-segments,1110,1708,0.106933,2
raytracing.batched-segments,1111,1708,0.088972,2
raytracing.batched-segments,1112,1708,0.088972,2
raytracing.batched-segments,1113,1708,0.117742,2
raytracing.batched-segments,1114,1708,0.074634,2
raytracing.batched-segments,1115,1708,0.088972,2
raytracing.batched-segments,1116,1708,0.095884,2
raytracing.batched-segments,1117,1708,0.093932,2
raytracing.batched-segments,1118,1708,0.135403,2
raytracing.batched-segments,1119,1708,0.128496,2
raytracing.batched-segments,1120,1708,0.246606,2
raytracing.batched-segments,1706,1708,0.226645,2
raytracing.batched-segments,1707,1708,0.344441,2
raytracing.batched-segments,1708,1708,0.500000,2
raytracing.batched-segments,1709,1708,0.128496,2
raytracing.batched-segments,1729,1708,0.030000,2
raytracing.batched-segments,1730,1708,0.044734,2
raytracing.make-rays-1d,831,839,0.073605,1
raytracing.make-rays-1d,832,839,0.074847,1
raytracing.make-rays-1d,833,839,0.069336,1
raytracing.make-rays-1d,834,839,0.044734,1
raytracing.make-rays-1d,835,839,0.119639,1
raytracing.make-rays-1d,836,839,0.114144,1
raytracing.make-rays-1d,837,839,0.074847,1
raytracing.make-rays-1d,838,839,0.109601,1
raytracing.make-rays-1d,839,839,0.500000,1
raytracing.make-rays-1d,840,839,0.394989,1
raytracing.make-rays-1d,841,839,0.089498,1
raytracing.make-rays-1d,842,839,0.054785,1
