question_id,concept,p_harder,difficulty_score
434,subtopic:PyTorch Fundamentals: Weight Initialization (normal_ / constant_),0.500000,100
435,subtopic:Autograd: Chain Rule and Backward Functions,0.138796,20
436,subtopic:Autograd: Chain Rule and Backward Functions,0.122829,15
437,subtopic:Autograd: Chain Rule and Backward Functions,0.500000,100
438,subtopic:PyTorch Fundamentals: Cross-Entropy Loss on Logits,0.087967,15
439,subtopic:PyTorch Fundamentals: Cross-Entropy Loss on Logits,0.304423,70
440,subtopic:PyTorch Fundamentals: Cross-Entropy Loss on Logits,0.500000,100
441,subtopic:Optimizers: SGD update rule,0.054785,15
442,subtopic:Optimizers: SGD update rule,0.500000,100
443,subtopic:Optimizers: SGD update rule,0.179783,55
444,subtopic:Optimizers: Parameter iteration and iterator exhaustion,0.464190,90
445,subtopic:Optimizers: Parameter iteration and iterator exhaustion,0.500000,100
446,subtopic:Optimizers: Parameter iteration and iterator exhaustion,0.264095,15
447,"subtopic:CNNs: Hyperparameter normalization (int-or-tuple to (h,w) pair)",0.056775,15
448,"subtopic:CNNs: Hyperparameter normalization (int-or-tuple to (h,w) pair)",0.500000,100
449,"subtopic:CNNs: Hyperparameter normalization (int-or-tuple to (h,w) pair)",0.170327,50
450,"subtopic:Autograd: Matrix multiplication backward (dL/dX = dL/dM @ Y^T, dL/dY = X^T @ dL/dM)",0.209298,35
451,"subtopic:Autograd: Matrix multiplication backward (dL/dX = dL/dM @ Y^T, dL/dY = X^T @ dL/dM)",0.146656,15
452,"subtopic:Autograd: Matrix multiplication backward (dL/dX = dL/dM @ Y^T, dL/dY = X^T @ dL/dM)",0.500000,100
453,subtopic:PyTorch Fundamentals: BatchNorm variance: biased vs unbiased,0.053032,15
454,subtopic:PyTorch Fundamentals: BatchNorm variance: biased vs unbiased,0.081575,30
455,subtopic:PyTorch Fundamentals: BatchNorm variance: biased vs unbiased,0.500000,100
456,subtopic:Optimizers: EWMA running statistics (BatchNorm / Adam / RMSprop),0.053032,15
457,subtopic:Optimizers: EWMA running statistics (BatchNorm / Adam / RMSprop),0.500000,100
458,subtopic:Optimizers: EWMA running statistics (BatchNorm / Adam / RMSprop),0.157333,50
459,cnn.batch-normalization,0.070000,45
460,cnn.batch-normalization,0.024508,20
462,subtopic:CNNs: Padding for Max Pooling,0.500000,100
463,subtopic:CNNs: Padding for Max Pooling,0.129672,15
464,subtopic:CNNs: Padding for Max Pooling,0.494999,100
465,subtopic:Autograd: Broadcasting gradients (unbroadcast),0.334769,50
466,subtopic:Autograd: Broadcasting gradients (unbroadcast),0.500000,100
467,subtopic:Autograd: Broadcasting gradients (unbroadcast),0.233177,15
468,subtopic:PyTorch Fundamentals: nn.Module extra_repr,0.246606,40
469,subtopic:PyTorch Fundamentals: nn.Module extra_repr,0.174095,15
470,subtopic:PyTorch Fundamentals: nn.Module extra_repr,0.500000,100
471,subtopic:Autograd: Global grad-mode flag (torch.set_grad_enabled / no_grad),0.500000,100
472,subtopic:Autograd: Global grad-mode flag (torch.set_grad_enabled / no_grad),0.470500,60
473,subtopic:Autograd: Global grad-mode flag (torch.set_grad_enabled / no_grad),0.436899,15
474,subtopic:PyTorch Fundamentals: Autograd: .grad on leaf parameters,0.142857,15
475,subtopic:PyTorch Fundamentals: Autograd: .grad on leaf parameters,0.369044,75
476,subtopic:PyTorch Fundamentals: Autograd: .grad on leaf parameters,0.500000,100
477,subtopic:PyTorch Fundamentals: Freezing parameters with requires_grad_,0.326835,45
478,subtopic:PyTorch Fundamentals: Freezing parameters with requires_grad_,0.251652,15
479,subtopic:PyTorch Fundamentals: Freezing parameters with requires_grad_,0.500000,100
480,torch.tensor-model,0.372155,85
481,torch.tensor-model,0.092506,25
482,torch.tensor-model,0.208945,55
483,torch.tensor-model,0.114023,35
484,torch.tensor-model,0.201954,55
485,torch.tensor-model,0.278041,70
486,torch.tensor-model,0.310412,75
487,torch.elementwise-ops,0.031734,15
488,torch.elementwise-ops,0.049302,25
489,torch.elementwise-ops,0.083788,40
490,torch.reshape-flatten,0.079427,40
491,torch.reshape-flatten,0.069336,40
492,torch.reshape-flatten,0.109601,50
493,torch.reshape-flatten,0.098200,45
494,torch.reshape-flatten,0.274746,75
495,torch.aggregations,0.056775,30
496,torch.aggregations,0.067293,35
497,torch.aggregations,0.198408,65
498,torch.aggregations,0.220675,70
499,torch.broadcasting-rules,0.059214,20
500,torch.broadcasting-rules,0.134294,45
501,torch.broadcasting-rules,0.106327,35
502,torch.broadcasting-rules,0.190342,55
503,torch.axis-reductions,0.098200,40
504,torch.axis-reductions,0.157333,55
505,torch.axis-reductions,0.239580,70
506,torch.slicing-views,0.024508,15
507,torch.slicing-views,0.089498,45
508,torch.linalg-basics,0.038781,15
509,torch.linalg-basics,0.073605,35
510,torch.linalg-basics,0.042541,20
511,torch.linalg-basics,0.053032,25
512,torch.linalg-basics,0.212871,65
513,torch.linalg-basics,0.089498,40
514,torch.dot-matmul-patterns,0.059214,30
515,torch.dot-matmul-patterns,0.137266,55
516,torch.sorting,0.139520,30
517,torch.sorting,0.142857,30
518,torch.sorting,0.201029,50
519,torch.sorting,0.285047,65
520,torch.sorting,0.369464,80
521,torch.sorting,0.366322,80
522,torch.sorting,0.500000,100
523,torch.views-and-copies,0.500000,100
524,torch.ranges,0.271520,60
531,einops.grids-montage,0.500000,100
532,torch.tensor-model,0.117742,35
533,torch.tensor-model,0.141420,40
534,torch.tensor-model,0.232745,60
535,torch.views-and-copies,0.205312,45
536,torch.views-and-copies,0.171852,35
537,torch.tensor-model,0.135877,40
538,torch.tensor-model,0.124971,35
539,torch.tensor-model,0.243533,65
540,torch.tensor-model,0.164969,50
541,torch.tensor-model,0.081458,20
542,torch.tensor-model,0.067293,15
543,torch.tensor-model,0.108390,30
544,torch.tensor-model,0.114023,35
545,torch.tensor-model,0.190342,55
546,torch.tensor-model,0.124594,35
547,torch.tensor-model,0.157765,45
548,torch.tensor-model,0.121388,35
549,torch.tensor-model,0.417923,90
550,torch.tensor-model,0.272529,70
551,torch.tensor-model,0.278041,70
552,torch.transpose-axes,0.076092,20
553,torch.views-and-copies,0.202119,40
554,torch.tensor-model,0.190850,55
555,torch.tensor-model,0.186108,50
556,torch.tensor-model,0.247449,65
557,torch.tensor-model,0.234476,60
558,torch.transpose-axes,0.092610,30
559,torch.tensor-model,0.176146,50
560,torch.tensor-model,0.150184,45
561,torch.views-and-copies,0.117742,15
562,torch.tensor-model,0.353394,80
563,torch.tensor-model,0.220974,60
564,torch.tensor-model,0.246606,65
565,torch.views-and-copies,0.528501,100
566,torch.tensor-model,0.307097,75
567,torch.tensor-model,0.500000,100
568,python.values-and-names,0.040423,15
569,python.values-and-names,0.094061,40
570,python.values-and-names,0.078977,35
571,python.values-and-names,0.102608,40
572,python.values-and-names,0.247523,70
573,python.values-and-names,0.375361,85
574,python.types-and-conversion,0.042541,20
575,python.types-and-conversion,0.052408,25
576,python.types-and-conversion,0.136738,50
577,python.types-and-conversion,0.130392,50
578,python.types-and-conversion,0.127174,50
579,python.types-and-conversion,0.216780,65
580,python.lists-and-tuples,0.078977,30
581,python.lists-and-tuples,0.046028,15
582,python.lists-and-tuples,0.070094,30
583,python.lists-and-tuples,0.145483,50
584,python.lists-and-tuples,0.161390,55
585,python.lists-and-tuples,0.500000,100
586,python.indexing,0.040423,15
587,python.indexing,0.076092,35
588,python.indexing,0.186108,60
589,python.indexing,0.267327,75
590,python.indexing,0.299942,75
591,python.indexing,0.467882,95
592,python.calling-functions,0.034835,15
593,python.calling-functions,0.109022,45
594,python.calling-functions,0.189586,65
595,python.calling-functions,0.055375,25
596,python.calling-functions,0.299618,80
597,python.calling-functions,0.500000,100
598,python.defining-functions,0.049042,15
599,python.defining-functions,0.056775,20
600,python.defining-functions,0.088972,35
601,python.defining-functions,0.095949,35
602,python.defining-functions,0.197564,60
603,python.defining-functions,0.208945,60
604,python.dots-and-imports,0.081800,30
605,python.dots-and-imports,0.049302,15
606,python.dots-and-imports,0.105771,40
607,python.dots-and-imports,0.228537,65
608,python.dots-and-imports,0.295749,75
609,python.dots-and-imports,0.328903,80
610,torch.transpose-axes,0.060982,15
611,torch.transpose-axes,0.084568,25
612,torch.transpose-axes,0.146669,45
613,torch.transpose-axes,0.074313,20
614,torch.transpose-axes,0.259069,65
615,torch.transpose-axes,0.224264,60
616,torch.views-and-copies,0.150403,25
617,torch.views-and-copies,0.261616,55
618,torch.views-and-copies,0.235624,50
619,torch.reshape-flatten,0.079427,40
620,torch.reshape-flatten,0.089498,45
621,torch.reshape-flatten,0.243296,75
622,torch.reshape-flatten,0.164939,60
623,torch.reshape-flatten,0.124225,55
624,torch.reshape-flatten,0.174492,65
625,torch.reshape-flatten,0.154934,60
626,torch.reshape-flatten,0.198297,65
627,torch.reshape-flatten,0.339929,85
628,torch.reshape-flatten,0.344983,85
629,torch.reshape-flatten,0.264728,75
630,torch.elementwise-ops,0.095884,45
631,torch.elementwise-ops,0.117742,50
632,torch.elementwise-ops,0.066957,35
633,torch.elementwise-ops,0.168552,60
634,torch.elementwise-ops,0.139520,55
635,torch.elementwise-ops,0.211518,65
636,torch.elementwise-ops,0.357978,85
637,torch.elementwise-ops,0.205072,65
638,torch.elementwise-ops,0.494302,100
639,torch.constructors,0.066957,20
640,torch.constructors,0.074634,25
641,torch.constructors,0.220675,60
642,torch.constructors,0.097054,35
643,torch.constructors,0.124594,40
644,torch.constructors,0.183462,55
645,torch.constructors,0.197564,60
646,torch.constructors,0.259363,70
647,torch.constructors,0.369044,85
648,torch.constructors,0.500000,100
649,torch.dtype-astype,0.113899,40
650,torch.dtype-astype,0.441282,95
651,torch.dtype-astype,0.197901,60
652,torch.dtype-astype,0.224559,65
653,torch.dtype-astype,0.483621,100
654,torch.dtype-astype,0.468745,95
655,torch.dtype-astype,0.224559,65
656,torch.dtype-astype,0.272529,70
657,torch.dtype-astype,0.484307,100
658,torch.dtype-astype,0.472698,95
659,torch.dtype-astype,0.389910,85
660,torch.sorting,0.217188,50
661,torch.sorting,0.217449,50
662,torch.sorting,0.323404,70
663,torch.sorting,0.230410,55
664,torch.sorting,0.154104,35
665,torch.sorting,0.213397,50
666,torch.sorting,0.464256,95
667,torch.sorting,0.373725,80
668,torch.sorting,0.201954,50
669,torch.transpose-axes,0.070094,20
670,torch.transpose-axes,0.127174,40
671,torch.transpose-axes,0.111414,35
672,torch.transpose-axes,0.150403,45
673,torch.transpose-axes,0.157765,50
674,torch.transpose-axes,0.097054,30
675,torch.transpose-axes,0.500000,100
676,torch.random-samplers,0.060322,15
677,torch.random-samplers,0.153445,45
678,torch.random-samplers,0.091991,30
679,torch.random-samplers,0.088972,30
680,torch.random-samplers,0.286306,70
681,torch.random-samplers,0.146656,45
682,torch.random-samplers,0.095884,30
683,torch.random-samplers,0.106327,35
684,torch.random-samplers,0.271520,70
685,torch.random-samplers,0.500000,100
686,torch.random-samplers,0.184826,55
687,torch.random-threading,0.042541,20
688,torch.random-threading,0.063364,30
689,torch.random-threading,0.034835,15
690,torch.random-threading,0.067293,35
691,torch.random-threading,0.042541,20
692,torch.random-threading,0.073605,35
693,torch.random-threading,0.190941,65
694,torch.random-seeding,0.128421,25
695,torch.random-threading,0.247842,70
696,torch.random-seeding,0.099662,15
697,torch.random-seeding,0.201029,45
698,torch.random-seeding,0.128496,25
699,torch.random-seeding,0.146669,30
700,torch.random-seeding,0.179579,40
701,torch.random-seeding,0.190342,45
702,torch.random-seeding,0.116694,20
703,torch.random-seeding,0.146656,30
704,torch.random-seeding,0.494813,100
705,torch.random-seeding,0.473600,95
706,torch.random-seeding,0.500000,100
707,torch.random-threading,0.500000,100
708,python.values-and-names,0.097054,40
709,python.values-and-names,0.526972,100
710,python.values-and-names,0.234476,70
711,python.values-and-names,0.346814,85
712,python.values-and-names,0.500000,100
713,python.types-and-conversion,0.066957,30
714,python.types-and-conversion,0.087289,40
715,python.types-and-conversion,0.146656,55
716,python.types-and-conversion,0.172451,60
717,python.types-and-conversion,0.500000,100
718,python.values-and-names,0.081458,35
719,python.values-and-names,0.128496,50
720,python.values-and-names,0.118303,45
721,python.values-and-names,0.066957,30
722,python.values-and-names,0.105841,45
723,python.values-and-names,0.110449,45
724,python.values-and-names,0.084568,35
725,python.values-and-names,0.160552,55
726,python.values-and-names,0.145483,50
727,python.values-and-names,0.161390,55
728,python.values-and-names,0.236177,70
729,python.values-and-names,0.287617,75
730,python.values-and-names,0.367238,85
731,python.types-and-conversion,0.052408,25
732,python.types-and-conversion,0.056775,25
733,python.types-and-conversion,0.058227,25
734,python.types-and-conversion,0.037715,15
735,python.types-and-conversion,0.060322,30
736,python.types-and-conversion,0.097054,40
737,python.types-and-conversion,0.106933,45
738,python.types-and-conversion,0.081575,35
739,python.types-and-conversion,0.095949,40
740,python.types-and-conversion,0.291026,75
741,python.types-and-conversion,0.130392,50
742,python.types-and-conversion,0.105841,45
743,python.types-and-conversion,0.209513,65
744,python.lists-and-tuples,0.345645,80
745,python.lists-and-tuples,0.128496,45
746,python.lists-and-tuples,0.094061,35
747,python.lists-and-tuples,0.100000,40
748,python.lists-and-tuples,0.142154,50
749,python.lists-and-tuples,0.055375,20
750,python.lists-and-tuples,0.194683,60
751,python.lists-and-tuples,0.172451,55
752,python.lists-and-tuples,0.168727,55
753,python.lists-and-tuples,0.102608,40
754,python.lists-and-tuples,0.168552,55
755,python.lists-and-tuples,0.290731,75
756,python.lists-and-tuples,0.157765,55
757,python.lists-and-tuples,0.342285,80
758,python.lists-and-tuples,0.183393,60
759,python.lists-and-tuples,0.273926,75
760,python.lists-and-tuples,0.174095,55
761,python.lists-and-tuples,0.291855,75
762,python.indexing,0.161810,55
763,python.indexing,0.150403,55
764,python.indexing,0.068795,30
765,python.indexing,0.063707,30
766,python.indexing,0.105841,45
767,python.indexing,0.319043,80
768,python.indexing,0.194683,60
769,python.indexing,0.117290,45
770,python.indexing,0.115247,45
771,python.indexing,0.167352,55
772,python.indexing,0.153667,55
773,python.indexing,0.182624,60
774,python.indexing,0.172096,60
775,python.indexing,0.362711,85
776,python.indexing,0.240048,70
777,python.indexing,0.278856,75
778,python.indexing,0.500000,100
779,python.indexing,0.437199,95
780,python.calling-functions,0.034835,15
781,python.calling-functions,0.060982,30
782,python.calling-functions,0.052408,25
783,python.calling-functions,0.095949,45
784,python.calling-functions,0.049302,25
785,python.calling-functions,0.073135,35
786,python.calling-functions,0.448308,95
787,python.calling-functions,0.163961,60
788,python.calling-functions,0.117290,50
789,python.calling-functions,0.139875,55
790,python.calling-functions,0.139875,55
791,python.calling-functions,0.124324,50
792,python.calling-functions,0.081458,40
793,python.calling-functions,0.179815,60
794,python.calling-functions,0.177892,60
795,python.calling-functions,0.313664,80
796,python.calling-functions,0.437808,95
797,python.calling-functions,0.323404,80
798,torch.out-argument,0.063707,20
799,torch.out-argument,0.053032,15
800,torch.out-argument,0.114023,40
801,torch.out-argument,0.153338,50
802,torch.out-argument,0.277027,70
803,torch.out-argument,0.149501,50
804,torch.out-argument,0.102325,35
805,torch.out-argument,0.183685,55
806,torch.out-argument,0.223048,65
807,torch.out-argument,0.500000,100
808,torch.out-argument,0.444545,95
809,torch.slice-assignment,0.038781,15
810,torch.slice-assignment,0.064821,30
811,torch.slice-assignment,0.059214,25
812,torch.slice-assignment,0.063364,30
813,torch.slice-assignment,0.100000,40
814,torch.slice-assignment,0.143192,55
815,torch.slice-assignment,0.373364,85
816,torch.slice-assignment,0.064821,30
817,torch.slice-assignment,0.178028,60
818,torch.slice-assignment,0.099554,40
819,torch.slice-assignment,0.344570,85
820,raytracing.ray-parametrisation,0.034654,15
821,raytracing.ray-parametrisation,0.114144,50
822,raytracing.ray-parametrisation,0.042541,20
823,raytracing.ray-parametrisation,0.056775,30
824,raytracing.ray-parametrisation,0.113899,50
825,raytracing.ray-parametrisation,0.079427,35
826,raytracing.ray-parametrisation,0.079427,35
827,raytracing.ray-parametrisation,0.064821,30
828,raytracing.ray-parametrisation,0.113899,50
829,raytracing.ray-parametrisation,0.170327,60
830,raytracing.ray-parametrisation,0.500000,100
831,raytracing.make-rays-1d,0.073605,30
832,raytracing.make-rays-1d,0.074847,30
833,raytracing.make-rays-1d,0.069336,30
834,raytracing.make-rays-1d,0.044734,15
835,raytracing.make-rays-1d,0.119639,45
836,raytracing.make-rays-1d,0.114144,45
837,raytracing.make-rays-1d,0.074847,30
838,raytracing.make-rays-1d,0.109601,40
839,raytracing.make-rays-1d,0.500000,100
840,raytracing.make-rays-1d,0.394989,90
841,raytracing.make-rays-1d,0.089498,35
842,raytracing.make-rays-1d,0.054785,20
843,raytracing.make-rays-1d,0.089498,35
844,raytracing.make-rays-1d,0.104895,40
845,raytracing.make-rays-1d,0.114144,45
846,raytracing.make-rays-1d,0.090000,35
847,einops.einsum,0.067293,20
848,einops.einsum,0.071039,20
849,einops.einsum,0.163961,50
850,einops.einsum,0.278946,70
851,einops.einsum,0.110222,35
852,einops.einsum,0.120688,40
853,einops.einsum,0.269818,70
854,einops.einsum,0.311565,75
855,einops.einsum,0.081575,25
856,einops.einsum,0.139875,45
857,einops.einsum,0.364153,85
858,einops.einsum,0.135877,45
859,einops.einsum,0.161173,50
860,einops.einsum,0.141420,45
861,einops.einsum,0.262208,70
862,einops.einsum,0.500000,100
863,einops.einsum,0.321910,75
864,einops.einsum,0.091991,30
865,einops.einsum,0.228560,65
866,einops.einsum,0.153445,50
867,einops.einsum,0.141420,45
868,einops.einsum,0.102325,35
869,einops.einsum,0.106327,35
870,einops.einsum,0.153445,50
871,einops.einsum,0.270101,70
872,einops.einsum,0.309301,75
873,einops.einsum,0.250636,65
874,einops.einsum,0.168552,50
875,einops.einsum,0.326835,80
876,einops.einsum,0.376840,85
877,einops.einsum,0.477380,95
878,einops.einsum,0.403222,90
879,einops.einsum,0.056775,15
880,einops.einsum,0.091991,30
881,einops.einsum,0.124971,40
882,einops.einsum,0.155860,50
883,einops.einsum,0.120688,40
884,einops.einsum,0.114023,40
885,einops.einsum,0.135877,45
886,einops.einsum,0.314713,75
887,einops.einsum,0.197031,60
888,einops.einsum,0.430582,90
889,einops.merge-axes,0.234725,40
890,einops.merge-axes,0.274486,50
891,einops.merge-axes,0.339791,65
892,einops.merge-axes,0.309197,60
893,einops.repeat-model,0.079427,25
894,einops.repeat-model,0.093932,30
895,einops.repeat-model,0.063364,15
896,einops.repeat-model,0.064821,15
897,einops.repeat-model,0.279562,70
898,einops.repeat-model,0.264970,70
899,einops.repeat-model,0.239857,65
900,einops.repeat-model,0.149725,45
901,einops.repeat-model,0.104048,30
902,einops.repeat-model,0.099554,30
903,einops.repeat-model,0.093932,30
904,einops.repeat-model,0.129672,40
905,einops.merge-axes,0.451972,90
906,einops.merge-axes,0.337004,65
907,einops.merge-axes,0.281749,55
908,einops.merge-axes,0.464395,95
909,einops.grids-montage,0.249386,45
910,einops.grids-montage,0.271520,50
911,einops.grids-montage,0.157333,20
912,einops.grids-montage,0.417840,85
913,einops.pattern-language,0.154104,40
914,einops.pattern-language,0.103341,20
915,einops.pattern-language,0.110449,25
916,einops.pattern-language,0.139520,35
917,einops.pooling,0.099554,30
918,einops.pooling,0.104895,35
919,einops.pooling,0.104895,35
920,einops.pooling,0.224009,60
921,einops.split-axes,0.147494,50
922,einops.split-axes,0.233177,65
923,einops.split-axes,0.196952,60
924,einops.split-axes,0.153338,50
925,einops.split-axes,0.108390,35
926,einops.split-axes,0.186721,55
927,einops.split-axes,0.163468,50
928,einops.split-axes,0.054785,15
929,einops.pooling,0.059214,15
930,einops.pooling,0.064821,20
931,einops.pooling,0.059214,15
932,einops.reduce-model,0.163961,30
933,einops.repeat-model,0.091991,30
934,einops.repeat-model,0.066957,15
935,einops.repeat-model,0.085334,25
936,einops.repeat-model,0.127002,40
937,einops.repeat-model,0.201029,55
938,einops.repeat-model,0.500000,100
939,einops.repeat-model,0.092506,30
940,einops.repeat-model,0.232308,60
941,einops.pattern-language,0.087902,15
942,einops.pattern-language,0.135877,35
