Topic,Subtopic,Question,Answer,Problem difficulty,Output
Einops,Deep Learning,3D max pooling with stride 2 in all spatial dims.,"einops.reduce(x_3d, 'b c (x2 2) (y2 2) (z2 2) -> b c x2 y2 z2', 'max')",40,
Einops,Deep Learning,"Channel shuffle with groups g1=4, g2=4: (g1*g2*c) -> (g2*g1*c).","einops.rearrange(x, 'b (g1 g2 c) h w -> b (g2 g1 c) h w', g1=4, g2=4)",35,
Einops,Deep Learning,Per-batch per-channel mean normalization (global across batch).,"x - einops.reduce(x, 'b c h w -> 1 c 1 1', 'mean')",30,
Einops,Deep Learning,Unpack subgrids back from batch to spatial dims (inverse of previous).,"einops.rearrange(y, '(hs ws b) c h w -> b c (h hs) (w ws)', hs=2, ws=2)",35,
Einops,Deep Learning,Simpler channel shuffle with groups g=4: (g*c) -> (c*g).,"einops.rearrange(x, 'b (g c_in) h w -> b (c_in g) h w', g=4)",30,
Einops,Rearrange,Repeat channel dimension into spatial: (h w c) -> ((c h) w 1).,"einops.rearrange(img, 'h w c -> (c h) w ()')",25,
Einops,Rearrange,Concatenate list of HWC images along width (list -> h (b*w) c).,"einops.rearrange(hwcs, 'b h w c -> h (b w) c')",20,
Einops,Deep Learning,"Temporal downsample by factor 2, keep batch and channels.","einops.rearrange(x_seq, 'b c (t 2) -> b c t')",25,
Einops,Rearrange,Interleave two images column-wise: produce (h 2w c).,"einops.rearrange([img_a, img_b], 'b h w c -> h (b w) c')",30,
Einops,Deep Learning,Integrate einops layer: max-pool+flatten in torch Sequential.,"Reduce('b c (h 2) (w 2) -> b (c h w)', 'max')",30,
Einops,Deep Learning,1D average pooling over time with window=4 (no overlap).,"einops.reduce(x_seq, 'b c (t w) -> b c t', 'mean', w=4)",25,
Einops,Rearrange,Transpose spatial axes for a batch ((b c h w) -> (b c w h)).,"einops.rearrange(arr, 'b c h w -> b c w h')",20,
Einops,Deep Learning,Concatenate along first two dims: BCHW -> (b*h) w c.,"einops.rearrange(list_of_tensors, 'b c h w -> (b h) w c')",25,
Einops,Rearrange,Create a 2x2 checkerboard grid from four images.,"einops.rearrange([img_a, img_b, img_c, img_d], '(r nc) h w ch -> (r h) (nc w) ch', r=2)",30,
Einops,Rearrange,Split batch 3x2 then weave dimensions into a single tall image.,"einops.rearrange(arr6x, '(r nc) h w ch -> (r h) (nc w) ch', r=3)",35,
Einops,Repeat,Repeat each channel twice along channel dim ((c h w) -> (2c h w)).,"einops.repeat(img, 'c h w -> (r c) h w', r=2)",25,
Einops,Deep Learning,Merge heads: (b h t d) -> (b t (h*d)).,"einops.rearrange(x_heads, 'b nh t d -> b t (nh d)')",30,
Einops,Repeat,Tile a single image horizontally by factor 4 (c h w -> c h (4w)).,"einops.repeat(img, 'c h w -> c h (w 4)')",20,
Einops,Reduce,Downsample width by 2 via mean (b h (w*2) c -> b h w c).,"einops.reduce(arr, 'b h (w w2) c -> b h w c', 'mean', w2=2)",25,
Einops,Deep Learning,Move subgrid factors into batch for BCHW (like im2col with strides).,"einops.rearrange(x, 'b c (h hs) (w ws) -> (hs ws b) c h w', hs=2, ws=2)",35,
Einops,Rearrange,Swap time and batch for sequences ((b t d) -> (t b d)).,"einops.rearrange(seq, 'b t d -> t b d')",20,
Einops,Rearrange,Make a 3x2 grid from first 6 HWC images (b h w c -> h*(3) w*(2) c).,"einops.rearrange(arr[:6], '(g1 g2) h w c -> (g1 h) (g2 w) c', g1=3)",30,
Einops,Rearrange,Unflatten back to 2D given h and w ((c (h*w)) -> (c h w)).,"einops.rearrange(flat, 'c (h w) -> c h w', h=h, w=w)",25,
Einops,Rearrange,Flatten spatial dims of a single image ((c h w) -> (c (h*w))).,"einops.rearrange(img, 'c h w -> c (h w)')",20,
Einops,Rearrange,Column-stacking: stack all images vertically (batches stacked along height).,"arr1 = einops.rearrange(arr, 'b c h w -> c (b h) w'); display_array_as_img(arr1)",35,
Einops,Rearrange,Group channels into pairs and expose pair dimension first (c even).,"einops.rearrange(img, '(p two) h w -> two p h w', two=2)",35,
Einops,Deep Learning,"Add fake batch for single image, flatten for classifier, then drop batch.","y = einops.rearrange(img, 'c h w -> () c h w'); preds = einops.rearrange(y, 'b c h w -> b (c h w)'); einops.rearrange(preds, '() classes -> classes')",30,
Einops,Deep Learning,"Space-to-depth with factors h1=4, w1=2 (b c (h*4) (w*2) -> b (4*2*c) h w).","einops.rearrange(x, 'b c (h h1) (w w1) -> b (h1 w1 c) h w', h1=4, w1=2)",35,
Einops,Deep Learning,Split heads: (b t (h*d)) -> (b h t d) for h=8.,"einops.rearrange(x_seq2, 'b t (nh d) -> b nh t d', nh=8)",35,
Einops,Deep Learning,Concatenate along channel-last: BCHW -> h w (b*c).,"einops.rearrange(list_of_tensors, 'b c h w -> h w (b c)')",25,
Einops,Rearrange,Reconstruct image from 4x4 patches ((n c 4 4) -> (c h w)).,"einops.rearrange(patches, '(h w) c p1 p2 -> c (h p1) (w p2)', h=h, w=w)",45,
Einops,Reduce,Compute per-batch-image grayscale by mean over c (b h w c -> b h w 1).,"einops.reduce(arr, 'b h w c -> b h w ()', 'mean')",20,
Einops,Rearrange,Concatenate the whole batch into a single wide strip (c h (b*w)).,"einops.rearrange(arr, 'b c h w -> c h (b w)')",30,
Einops,Rearrange,Extract 3x3 non-overlapping patches from NHWC (-> n 3 3 c).,"einops.rearrange(img_hwc, '(h p1) (w p2) c -> (h w) p1 p2 c', p1=3, p2=3)",35,
Einops,Reduce,Compute per-column max then subtract (h w c -> h w c).,"mx = einops.reduce(img, 'h w c -> () w c', 'max'); img - mx",25,
Einops,Rearrange,Split width by factor 4 then swap the subfactor with height.,"einops.rearrange(arr, 'b h (w w4) c -> b (w4 h) w c', w4=4)",35,
Einops,Rearrange,Extract non-overlapping 4x4 patches: (c h w) -> ((h/4*w/4) c 4 4).,"einops.rearrange(img, 'c (h p1) (w p2) -> (h w) c p1 p2', p1=4, p2=4)",45,
